Sector,PD_Horizon,N_observations,Optimal_Alpha,Optimal_L1_Ratio,R_squared,R_squared_adj,R_squared_cv,RMSE_cv,N_features_selected,Intercept,LASSO_β_GDP_Growth,β_selected_GDP_Growth,LASSO_NATIVE_β_GDP_Growth,LASSO_β_Interest_Rate,β_selected_Interest_Rate,LASSO_NATIVE_β_Interest_Rate,LASSO_β_Brent_Oil,β_selected_Brent_Oil,LASSO_NATIVE_β_Brent_Oil,LASSO_β_Fuel_Index,β_selected_Fuel_Index,LASSO_NATIVE_β_Fuel_Index,LASSO_β_CPI,β_selected_CPI,LASSO_NATIVE_β_CPI,LASSO_β_GDP_Growth_lag1,β_selected_GDP_Growth_lag1,LASSO_NATIVE_β_GDP_Growth_lag1,LASSO_β_GDP_Growth_lag2,β_selected_GDP_Growth_lag2,LASSO_NATIVE_β_GDP_Growth_lag2,LASSO_β_GDP_Growth_lag3,β_selected_GDP_Growth_lag3,LASSO_NATIVE_β_GDP_Growth_lag3,LASSO_β_GDP_Growth_lag4,β_selected_GDP_Growth_lag4,LASSO_NATIVE_β_GDP_Growth_lag4,LASSO_β_Interest_Rate_lag1,β_selected_Interest_Rate_lag1,LASSO_NATIVE_β_Interest_Rate_lag1,LASSO_β_Interest_Rate_lag2,β_selected_Interest_Rate_lag2,LASSO_NATIVE_β_Interest_Rate_lag2,LASSO_β_Interest_Rate_lag3,β_selected_Interest_Rate_lag3,LASSO_NATIVE_β_Interest_Rate_lag3,LASSO_β_Interest_Rate_lag4,β_selected_Interest_Rate_lag4,LASSO_NATIVE_β_Interest_Rate_lag4,LASSO_β_Brent_Oil_lag1,β_selected_Brent_Oil_lag1,LASSO_NATIVE_β_Brent_Oil_lag1,LASSO_β_Brent_Oil_lag2,β_selected_Brent_Oil_lag2,LASSO_NATIVE_β_Brent_Oil_lag2,LASSO_β_Brent_Oil_lag3,β_selected_Brent_Oil_lag3,LASSO_NATIVE_β_Brent_Oil_lag3,LASSO_β_Brent_Oil_lag4,β_selected_Brent_Oil_lag4,LASSO_NATIVE_β_Brent_Oil_lag4,LASSO_β_Fuel_Index_lag1,β_selected_Fuel_Index_lag1,LASSO_NATIVE_β_Fuel_Index_lag1,LASSO_β_Fuel_Index_lag2,β_selected_Fuel_Index_lag2,LASSO_NATIVE_β_Fuel_Index_lag2,LASSO_β_Fuel_Index_lag3,β_selected_Fuel_Index_lag3,LASSO_NATIVE_β_Fuel_Index_lag3,LASSO_β_Fuel_Index_lag4,β_selected_Fuel_Index_lag4,LASSO_NATIVE_β_Fuel_Index_lag4,LASSO_β_CPI_lag1,β_selected_CPI_lag1,LASSO_NATIVE_β_CPI_lag1,LASSO_β_CPI_lag2,β_selected_CPI_lag2,LASSO_NATIVE_β_CPI_lag2,LASSO_β_CPI_lag3,β_selected_CPI_lag3,LASSO_NATIVE_β_CPI_lag3,LASSO_β_CPI_lag4,β_selected_CPI_lag4,LASSO_NATIVE_β_CPI_lag4,LASSO_δ_GPR_Global,δ_selected_GPR_Global,LASSO_NATIVE_δ_GPR_Global,LASSO_δ_GPR_Global_lag1,δ_selected_GPR_Global_lag1,LASSO_NATIVE_δ_GPR_Global_lag1,LASSO_δ_GPR_Global_lag2,δ_selected_GPR_Global_lag2,LASSO_NATIVE_δ_GPR_Global_lag2,LASSO_δ_GPR_Global_lag3,δ_selected_GPR_Global_lag3,LASSO_NATIVE_δ_GPR_Global_lag3,LASSO_δ_GPR_Global_lag4,δ_selected_GPR_Global_lag4,LASSO_NATIVE_δ_GPR_Global_lag4
Mining & Construction,12_month,1499,0.10844464026460011,0.95,0.0219128230219906,0.019950106278890933,-0.0999937509922122,1.3971939377599452,3,0.37938663922121607,-0.0063796738264468855,1,-0.006161438274851975,-0.0,0,-0.0,-0.11465612044094815,1,-0.11246245142275917,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.022486088454646194,1,-0.024677672011832096,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0
Transportation,12_month,882,0.012932764154516215,1.0,0.04661692153068819,0.03345167763928236,-0.2358973628051102,1.348752928219057,12,0.09897193198814365,-0.004933793923526117,1,-0.0033515414567858734,-0.0,0,-0.0,-0.14625852480922313,1,-0.1459230609894459,0.2413563348926777,1,0.23949416834238862,0.0,0,0.0,-0.0,0,-0.0,0.002717375351393323,1,0.0022812048309210973,0.0,0,0.0,0.01936687638788827,1,0.02020395337082819,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.10036512100940534,1,-0.10022237572766189,-0.0,0,-0.0,-0.0,0,-0.0,-0.009965362216585921,1,-0.010313133683068892,-0.013710106854990368,1,-0.014409851455793292,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.1863414679793503,1,0.19081902380675198,-0.061499586562485165,1,-0.0642389258660146,0.00763448682383402,1,0.008443078154260842,-0.0,0,-0.0,-0.0559506562683894,1,-0.06580269776700362
Communications,12_month,1383,0.0636642802362477,1.0,0.053425798246278244,0.050678122769489575,-0.023007138604282072,1.1445895171837788,4,0.41459052797453133,-0.044806503434801345,1,-0.05199925175230273,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.059253726562029124,1,0.06433135313689888,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.12894358540563763,1,0.1368718538291929,0.04100343160714281,1,0.04458722489775753,0.0,0,0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0
"Finance, Insurance & Real Estate",12_month,4525,0.05285100861191261,0.1,0.047772326721978176,0.04333155809243383,0.0015743326350974752,1.1071550351923365,21,0.24156211275987546,-0.03193923056372608,1,-0.03279645618829577,-0.008032612180932689,1,-0.00813301014752366,-0.0,0,-0.0,0.0,0,0.0,0.025799114529609826,1,0.026642705491197544,0.0,0,0.0,0.0,0,0.0,0.006420100790468693,1,0.006925908624450144,-0.009933846693067462,1,-0.011617369680877742,-0.0,0,-0.0,-0.003636613324219525,1,-0.003725172198235778,-0.0030851920353285175,1,-0.00318695976191628,-0.0217277863863482,1,-0.022684481937297437,-0.021074801076231265,1,-0.0215589299333755,-0.0,0,-0.0,-0.005176952489868463,1,-0.005340510249534682,0.0,0,0.0,0.0,0,0.0,0.011986962981373197,1,0.012155130820665374,0.04287442219563945,1,0.044256045804494534,0.04035254391321313,1,0.042349900104293785,0.017124673921527108,1,0.017852882576296445,0.019241022983886868,1,0.020263421436155442,0.012023781585984864,1,0.012789462339948742,0.01215796774362299,1,0.013063902483167114,0.13092125123692425,1,0.11894615679626777,0.022643170673907247,1,0.02165179527152026,0.0,0,0.0,-0.06705435957033111,1,-0.07404330832497047,0.026376333797984895,1,0.031116750054145187
Utilities,12_month,2931,0.04424850024221416,0.1,0.01420610511753495,0.0070896830506625985,-0.09801991133783709,0.8838974792124257,21,0.12955139387586675,-0.049586934673423025,1,-0.055539962049916194,0.0,0,0.0,-0.005637173203421662,1,-0.005768514433275602,0.002461600773769795,1,0.0024705013474018178,0.0203586138862548,1,0.020224215232259698,0.020324344546786936,1,0.022843457255411374,-0.0,0,-0.0,-0.010206275702745808,1,-0.011158861511584715,-0.025472718185114287,1,-0.028703107213536853,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.04000131172742368,1,-0.04118550730590121,-0.018729555246228845,1,-0.01915396899559724,-0.0,0,-0.0,-0.0,0,-0.0,-0.010829403546759719,1,-0.010699644236053634,0.021484447848277518,1,0.021721083413019936,0.006940562454336015,1,0.0070747403924048165,0.008640387774667017,1,0.008917845666404273,0.0,0,0.0,0.012185348893919578,1,0.012214010617638512,0.011788960286819975,1,0.011927430784669034,0.009452560653591825,1,0.009655240970434097,0.008526041906797982,1,0.0087970513899517,0.003646447277380862,1,0.0037734980413740753,0.014474939515628713,1,0.01688612512379149,-0.0139661809775252,1,-0.015746870373085753,-0.0,0,-0.0,-0.06477380544753096,1,-0.06984161399814642
Heavy Manufacturing,12_month,1815,0.3297454519384583,0.1,0.006384626343064248,0.0003226357106591582,-0.018662786889092998,0.9790548993438805,11,0.14092379380160183,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.008440976682167258,1,-0.008455311142523509,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.002632198956222299,1,-0.00390699610081672,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0,-0.0016748900898892844,1,-0.0016926374541941657,-0.004676071768227029,1,-0.004841312602604809,-0.007898944117663722,1,-0.00834633130307436,-0.007276508235843369,1,-0.007355102059598253,-0.007024235917598752,1,-0.007169903020851271,-0.006227765013535862,1,-0.006418917585498652,-0.00515719349886585,1,-0.005366664129027333,-0.0,0,-0.0,-0.0,0,-0.0,-0.0019272265085143853,1,-0.0021379369865851885,-0.0,0,-0.0,-0.0036220735898701037,1,-0.004216428383010112
Light Manufacturing,12_month,1973,0.2256874255485727,0.1,0.009536189307564169,0.004487953779060416,-0.06631989249036963,0.8923094734270955,10,0.15800579748008683,-0.004943596163420159,1,-0.005443557416835047,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0020669734507447225,1,0.002095582107015462,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.002645097327053576,1,0.0027687961295317838,0.019295874968590192,1,0.02033820482692378,0.009638989977357963,1,0.010224296456768632,0.003193721890636151,1,0.0034174526567321683,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0006445851753654481,1,0.0006592940723016582,0.0008590318836697889,1,0.0008871130709561601,0.0001954676989652347,1,0.00020367514088892504,0.0,0,0.0,0.03624004370456215,1,0.038848689016342926,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0
Public Administration,12_month,273,0.11514743118356824,0.1,0.09734310015420455,0.06998986076493807,-0.23799560593101213,0.47133090334439454,8,0.017155751692073392,-0.025089354008212328,1,-0.03303720769161354,-0.0,0,-0.0,-0.0,0,-0.0,0.016589112025820123,1,0.017108339452162082,0.0,0,0.0,-0.07748980247308178,1,-0.09596707927345909,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.019694125105635195,1,-0.019250388244873615,-0.027077899209566197,1,-0.02618823934461943,-0.0,0,-0.0,-0.03862985884445825,1,-0.0380448140278406,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.009249858610046527,1,-0.011732933289401087,-0.0,0,-0.0,-0.0,0,-0.0,-0.020506701380832628,1,-0.021055455572095604,0.0,0,0.0
Wholesale & Retail Trade,12_month,1168,0.42650337594480325,0.1,0.01117115944130842,0.00691630212393024,-0.008291977433075836,1.0340426659372732,5,0.3127764388088018,-0.012775658777034538,1,-0.011605969365112948,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,-0.02796833623748898,1,-0.029136916724010337,-0.018601969655554215,1,-0.020231401709123326,-0.0,0,-0.0,-0.0,0,-0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.00047625371661606656,1,-0.0005203891066478555,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.0,0,-0.0,0.0,0,0.0,-0.0,0,-0.0,-0.02704014813517194,1,-0.03306555943338954
Services,12_month,1271,1.5368100335723502,0.1,0.0,0.0,-0.05122508720875496,1.1887685629834253,0,0.1548890151960451,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
