Sector,N,M1 R2,M1 AdjR2,M1 CVR2,M1 CVRMSE,M1 AIC,M2 R2,M2 AdjR2,M2 CVR2,M2 CVRMSE,M2 AIC,M3 R2,M3 AdjR2,M3 CVR2,M3 CVRMSE,M3 preds
Mining & Construction,1499,0.059972149114665196,0.04076177069057796,-0.1621326768103058,1.4209890205515916,5274.193881758193,0.0385514979649233,0.03468508307738283,-0.14331331833327038,1.4090739864168351,5259.968600471008,0.0219128230219906,0.019950106278890933,-0.0999937509922122,1.3971939377599452,3
Transportation,882,0.06796144471246202,0.03510462137682613,-0.2690213263343927,1.3664377500598819,3024.8843958768452,0.028625174841560574,0.021964318897616963,-0.24456293874328922,1.3539874894286166,3013.3447159463235,0.04661692153068819,0.03345167763928236,-0.2358973628051102,1.348752928219057,12
Communications,1383,0.08832842399211516,0.06809902511620058,-0.09398357637118253,1.1792635936161129,4368.117479919263,0.05566305889123124,0.051545310601512684,-0.050491391557776065,1.156271384562362,4368.803533747442,0.053425798246278244,0.050678122769489575,-0.023007138604282072,1.1445895171837788,4
"Finance, Insurance & Real Estate",4525,0.05684735710812572,0.05055127805010251,-0.0015942212089508523,1.108205926071626,13711.74274807831,0.03444118662746298,0.03315890400678234,-0.009341252587720561,1.1133954532564334,13769.984661827431,0.047772326721978176,0.04333155809243383,0.0015743326350974752,1.1071550351923365,21
Utilities,2931,0.024510621821813627,0.014419352392384122,-0.12928817343493276,0.8910466958951091,7952.2904107694585,0.007283123120995327,0.005246084385949423,-0.10228385418767716,0.8853978074286003,7955.601179768095,0.01420610511753495,0.0070896830506625985,-0.09801991133783709,0.8838974792124257,21
Heavy Manufacturing,1815,0.020974569425075362,0.004511137296573264,-0.046099586523983584,0.9912906282537103,5122.9780879757745,0.010162053111686054,0.0068771926684726425,-0.0180461974544043,0.9790979748239863,5094.9133609122,0.006384626343064248,0.0003226357106591582,-0.018662786889092998,0.9790548993438805,11
Light Manufacturing,1973,0.030888255544467613,0.015917425300561394,-0.1080970525738679,0.9011626844353842,5273.63763653901,0.011807006801957232,0.008791158399521604,-0.0773522508274476,0.8942050777895588,5264.107370712303,0.009536189307564169,0.004487953779060416,-0.06631989249036963,0.8923094734270955,10
Public Administration,273,0.14358739435857615,0.03742054241955661,-0.5641024553302942,0.509898924666036,420.32552353710037,0.07671956091470777,0.05589368634887404,-0.3086377088766786,0.4781246532592288,392.8498673964442,0.09734310015420455,0.06998986076493807,-0.23799560593101213,0.47133090334439454,8
Wholesale & Retail Trade,1168,0.0417771623399773,0.016494237863459604,-0.035940533819066166,1.0475864284093017,3461.9604483240732,0.011576868556544051,0.006468738678283237,-0.026604451645432813,1.042330176233925,3450.204094136617,0.01117115944130842,0.00691630212393024,-0.008291977433075836,1.0340426659372732,5
Services,1271,0.03846592084929423,0.015202999579519094,-0.13562267079403148,1.221433252002686,4083.313891986081,0.0187350639478574,0.01407716077039467,-0.09509225762864308,1.203098726206647,4061.1310569893594,0.0,0.0,-0.05122508720875496,1.1887685629834253,0
"Health, Legal & Educational Services",415,0.06917502915831031,-0.0035456716886967943,-0.4989996817117371,1.0368517247167808,1179.6205699158809,0.02104142775346618,0.006644978161605475,-0.34504752272999056,0.9932238247625345,1152.54406767061,0.0,0.0,-0.28570629894417177,0.9656279260916236,0
