Sector,PD_Horizon,Intercept,N_observations,R_squared,β_GDP_Growth,β_GDP_Growth_CI_lower,β_GDP_Growth_CI_upper,β_Interest_Rate,β_Interest_Rate_CI_lower,β_Interest_Rate_CI_upper,β_Brent_Oil,β_Brent_Oil_CI_lower,β_Brent_Oil_CI_upper,β_Fuel_Index,β_Fuel_Index_CI_lower,β_Fuel_Index_CI_upper,β_CPI,β_CPI_CI_lower,β_CPI_CI_upper,β_GDP_Growth_lag1,β_GDP_Growth_lag1_CI_lower,β_GDP_Growth_lag1_CI_upper,β_GDP_Growth_lag2,β_GDP_Growth_lag2_CI_lower,β_GDP_Growth_lag2_CI_upper,β_GDP_Growth_lag3,β_GDP_Growth_lag3_CI_lower,β_GDP_Growth_lag3_CI_upper,β_GDP_Growth_lag4,β_GDP_Growth_lag4_CI_lower,β_GDP_Growth_lag4_CI_upper,β_Interest_Rate_lag1,β_Interest_Rate_lag1_CI_lower,β_Interest_Rate_lag1_CI_upper,β_Interest_Rate_lag2,β_Interest_Rate_lag2_CI_lower,β_Interest_Rate_lag2_CI_upper,β_Interest_Rate_lag3,β_Interest_Rate_lag3_CI_lower,β_Interest_Rate_lag3_CI_upper,β_Interest_Rate_lag4,β_Interest_Rate_lag4_CI_lower,β_Interest_Rate_lag4_CI_upper,β_Brent_Oil_lag1,β_Brent_Oil_lag1_CI_lower,β_Brent_Oil_lag1_CI_upper,β_Brent_Oil_lag2,β_Brent_Oil_lag2_CI_lower,β_Brent_Oil_lag2_CI_upper,β_Brent_Oil_lag3,β_Brent_Oil_lag3_CI_lower,β_Brent_Oil_lag3_CI_upper,β_Brent_Oil_lag4,β_Brent_Oil_lag4_CI_lower,β_Brent_Oil_lag4_CI_upper,β_Fuel_Index_lag1,β_Fuel_Index_lag1_CI_lower,β_Fuel_Index_lag1_CI_upper,β_Fuel_Index_lag2,β_Fuel_Index_lag2_CI_lower,β_Fuel_Index_lag2_CI_upper,β_Fuel_Index_lag3,β_Fuel_Index_lag3_CI_lower,β_Fuel_Index_lag3_CI_upper,β_Fuel_Index_lag4,β_Fuel_Index_lag4_CI_lower,β_Fuel_Index_lag4_CI_upper,β_CPI_lag1,β_CPI_lag1_CI_lower,β_CPI_lag1_CI_upper,β_CPI_lag2,β_CPI_lag2_CI_lower,β_CPI_lag2_CI_upper,β_CPI_lag3,β_CPI_lag3_CI_lower,β_CPI_lag3_CI_upper,β_CPI_lag4,β_CPI_lag4_CI_lower,β_CPI_lag4_CI_upper,δ_GPR_Global,δ_GPR_Global_CI_lower,δ_GPR_Global_CI_upper,δ_GPR_Global_lag1,δ_GPR_Global_lag1_CI_lower,δ_GPR_Global_lag1_CI_upper,δ_GPR_Global_lag2,δ_GPR_Global_lag2_CI_lower,δ_GPR_Global_lag2_CI_upper,δ_GPR_Global_lag3,δ_GPR_Global_lag3_CI_lower,δ_GPR_Global_lag3_CI_upper,δ_GPR_Global_lag4,δ_GPR_Global_lag4_CI_lower,δ_GPR_Global_lag4_CI_upper
Communications,12_month,-9.743567789243249,3926,0.1578856335719776,1.9637189230633503,1.3453561124314253,2.5820817336952753,-0.08050256197652794,-0.5169652574775059,0.35596013352445005,0.021852580142438696,0.012379794048359401,0.03132536623651799,0.05124583736638065,0.013512558732621145,0.08897911600014016,-0.9265165287251753,-1.2758277151720954,-0.5772053422782553,-2.7419867321996167,-3.9850272972406984,-1.4989461671585353,0.8202880432019694,-0.43665027900119047,2.0772263654051293,0.5721668729695769,-0.9357460424530296,2.0800797883921835,-0.275655569543102,-1.0595623166264403,0.5082511775402362,0.20506726920905952,-0.6017503882421389,1.0118849266602579,0.8720948738880467,-0.013427007945718272,1.7576167557218119,-1.4020419344988617,-2.182677991012828,-0.6214058779848958,0.5623176423706093,0.13764122086195502,0.9869940638792636,-0.0025837515431750384,-0.016698308171256455,0.01153080508490638,-0.027281257252045957,-0.04465467328215503,-0.00990784122193689,0.019249825246684563,0.0017740404156365887,0.036725610077732534,-5.581659908782122e-05,-0.012011442366225582,0.01189980916804994,-0.04287526848196232,-0.11799406593956471,0.03224352897564007,-0.01968167759836832,-0.0976972321773514,0.05833387698061476,0.07225152275489714,-0.012278978860331385,0.15678202437012567,-0.09637721877056227,-0.1418185090723401,-0.05093592846878445,1.2871287107632856,0.838316115041357,1.7359413064852143,-0.7885197484624475,-1.2367376648271144,-0.34030183209778064,-0.27649644637979476,-0.7221324251992155,0.16913953243962598,0.4706921561260222,0.13970128735638626,0.8016830248956581,0.004349018893158159,0.0022916794783118103,0.006406358308004508,0.0032772241168567513,0.000880268466964697,0.005674179766748806,-0.004190280749627799,-0.0066766681499173764,-0.0017038933493382221,0.004240773186659188,0.0016578807347717712,0.006823665638546604,0.008645620747869124,0.0063473149169751015,0.010943926578763146
Utilities,12_month,4.878984772064542,4245,0.1803927329530446,0.4679627778536506,-0.01471347879913354,0.9506390345064347,-1.8441840817399666,-2.1432224052592987,-1.5451457582206343,-0.009159938241336266,-0.01599242463474992,-0.0023274518479226127,-0.012812101110503382,-0.042682345849291724,0.017058143628284957,0.5734243176024967,0.33368059430918684,0.8131680408958065,-0.9716549735458739,-1.9669108334204268,0.02360088632867896,-1.286661167725456,-2.2957826996022273,-0.2775396358486848,3.785791775174626,2.660076192303966,4.911507358045286,-2.146469787350879,-2.739065251764223,-1.5538743229375351,3.275615407634069,2.7339490788996073,3.8172817363685305,-2.3737386328635424,-2.9560510356651974,-1.7914262300618873,1.500745887219959,0.9016939319955521,2.099797842444366,-0.6620271675850428,-0.9937891569536195,-0.3302651782164661,-0.014115962684173053,-0.025808569834903913,-0.0024233555334421935,0.06069732666867152,0.04755590925096799,0.07383874408637504,-0.05876604490439407,-0.0719738407214877,-0.04555824908730044,0.02883934546473636,0.019926067744212572,0.03775262318526015,-0.018403136789108446,-0.07634537784965115,0.039539104271434256,0.06923201600431916,0.011773259497924293,0.12669077251071403,-0.03461254586895797,-0.08819252347936284,0.018967431741446897,-0.012570868934446758,-0.043308009713925844,0.018166271845032327,-0.4301840056635816,-0.7640043732905621,-0.09636363803660103,-0.3895369600995135,-0.7637372518981755,-0.015336668300851397,0.7392027589776449,0.39828817669449934,1.0801173412607903,-0.3763882984067851,-0.6226870198638782,-0.13008957694969203,0.003773466091179523,0.002226370475213213,0.005320561707145833,0.0016246041073583644,-0.00020605185984203206,0.003455260074558761,-0.0002705510173418543,-0.0021923594046233306,0.001651257369939622,-0.0006362574786117202,-0.002651209741243293,0.001378694784019853,-0.006512982394866753,-0.008376746798403036,-0.00464921799133047
Mining & Construction,12_month,-1.147309373191217,2347,0.16164781619167967,-2.1251402866467526,-3.4703802320809585,-0.7799003412125469,-1.9921279201619517,-2.7834404456085284,-1.2008153947153752,-0.025046963835698724,-0.04129968953291084,-0.008794238138486607,-0.06762914419125532,-0.1504699393992629,0.015211651016752273,0.7360704049721516,0.08251511231341224,1.389625697630891,5.650582073062923,2.881882406450427,8.41928173967542,-5.252273962551816,-8.009712170643686,-2.4948357544599453,1.6729174389339636,-1.172276461230388,4.518111339098315,0.05271333859426383,-1.438579758376583,1.5440064355651104,4.577346175114475,3.081350700072288,6.073341650156662,-5.751212114938568,-7.481190904145436,-4.0212333257317,6.461511472312472,4.444032344747996,8.478990599876948,-3.696925388255374,-4.72450258559007,-2.6693481909206778,0.03706829486135002,0.009619716886443822,0.06451687283625622,0.010588334030666358,-0.018404401772040765,0.039581069833373485,-0.03695436304215433,-0.06544013498655266,-0.008468591097756013,0.03113033026533258,0.010435426636043788,0.051825233894621375,0.12414929284200532,-0.04116128478330333,0.289459870467314,0.05151722786858695,-0.10790042098284028,0.21093487672001418,-0.1482862759275942,-0.3013627848673368,0.004790233012148454,-0.012267592405979896,-0.09830529029362627,0.07377010548166647,-2.3715096423412825,-3.3203837392361724,-1.4226355454463926,1.5307543728687927,0.5215754635023118,2.539933282235274,0.4693542531964182,-0.464273379382795,1.4029818857756315,-0.29051672206089674,-0.9652164684914268,0.38418302436963336,0.002410628633637354,-0.0014458176383781167,0.0062670749056528245,0.002309422429400806,-0.0023434665528072225,0.006962311411608834,0.0020991040771398163,-0.002869048973610358,0.007067257127889991,0.0026850942239220535,-0.00244400779132999,0.007814196239174096,-0.006150412493211122,-0.01084858162678828,-0.0014522433596339639
Light Manufacturing,12_month,-2.9445665901826525,4204,0.0507940515402906,-0.1728667747996636,-0.5077733145684145,0.1620397649690873,-0.07480813906899444,-0.3656895720691451,0.21607329393115624,0.0005732762344058779,-0.00514304090101804,0.006289593369829796,0.05382784703463221,0.03367257570411336,0.07398311836515106,0.29389104615312256,0.08387880478148893,0.5039032875247562,-0.03846535494079692,-0.7029771743691076,0.6260464644875137,0.32968074215276433,-0.41360886840203603,1.0729703527075647,0.09570388237961494,-0.7067118011572916,0.8981195659165214,-0.133700843704278,-0.5557547836485661,0.28835309624001004,0.12473261487865678,-0.38396872481990046,0.6334339545772141,0.445093688771553,-0.049220689671309326,0.9394080672144153,-0.9486980130163057,-1.4039390016289213,-0.4934570244036903,0.4035230229750672,0.1559850934400495,0.6510609525100849,-0.011360787726745406,-0.019692701919872626,-0.0030288735336181857,0.022279356602148206,0.012611178138875944,0.03194753506542047,-0.0004403745285312178,-0.009577237341342046,0.00869648828427961,-0.009347500428412757,-0.015458643526836315,-0.0032363573299891988,-0.10457664443782733,-0.14376431824529878,-0.06538897063035588,0.07163649251120491,0.027018266807821448,0.11625471821458837,-0.044343688060713794,-0.09209939874346174,0.00341202262203414,0.014116184454485344,-0.011933838333360909,0.040166207242331595,-0.10861382100983866,-0.3785692757693897,0.16134163374971236,-0.7183877285025037,-0.9833604178345341,-0.4534150391704732,0.5936906063284281,0.32284477753953156,0.8645364351173246,-0.1031228008104289,-0.30238851173692816,0.09614291011607037,0.0008769589242413973,-0.0002432691740491379,0.0019971870225319326,-0.0031309680162305608,-0.00453429440964139,-0.0017276416228197318,0.0018492187332986411,0.00040416922147121204,0.00329426824512607,-0.00035311228685547995,-0.0018753642556146356,0.0011691396819036757,-0.00022018749694885657,-0.0015861120521041805,0.0011457370582064674
Heavy Manufacturing,12_month,-4.42261976184926,5433,0.15658180737365757,-1.6361526588444448,-2.0297305198260944,-1.2425747978627952,-1.5411387466254278,-1.8097139639701434,-1.2725635292807123,0.008346271729490675,0.002277992083903886,0.014414551375077463,0.013497905116262882,-0.00820473629785494,0.035200546530380704,0.6256404025960848,0.39217334345425525,0.8591074617379143,2.8859657354122907,2.0674972011008856,3.704434269723696,-3.539871486381173,-4.49917235608107,-2.5805706166812756,4.180645320154026,3.153273110423153,5.208017529884899,-1.8052713093006325,-2.3290093211213287,-1.2815332974799363,3.0402614831713284,2.5752442464380865,3.5052787199045703,-2.8280620396228953,-3.301545942244773,-2.3545781370010177,1.4283976711342001,0.8515655712393257,2.0052297710290743,-0.3753231887592273,-0.7127765901252889,-0.037869787393165655,-0.013031552943217704,-0.022883433465651817,-0.0031796724207835917,0.003029905342162402,-0.00934713127109305,0.015406941955417855,0.04213534960494086,0.029240963138354656,0.05502973607152706,-0.030533625477078302,-0.03817352009200556,-0.022893730862151046,-0.040577882138783036,-0.08633093770680719,0.005175173429241113,0.08025111283505049,0.02535036440440218,0.13515186126569878,-0.1072498483092395,-0.1714596480388941,-0.043040048579584905,0.03385474815659567,-0.0015549766084080874,0.06926447292159943,-0.5875241111450213,-0.9305457687261335,-0.2445024535639092,-0.46882395747998895,-0.8127540036680385,-0.12489391129193944,-0.28201714958279966,-0.6071203788070578,0.04308607964145844,0.7028487344843851,0.5011049255342097,0.9045925434345605,-0.0003342042302820511,-0.0020105708242149347,0.0013421623636508326,-0.004251419982044327,-0.005995235681722728,-0.0025076042823659254,-0.0007061962895721928,-0.0023836816045552556,0.0009712890254108701,-0.0020450609664366113,-0.003637504128695586,-0.00045261780417763637,-0.0028366537759709374,-0.0043570810569616095,-0.001316226494980265
Public Administration,12_month,-7.296618601207442,251,0.3524386007573673,-1.6319032303636123,-2.7246678499994115,-0.5391386107278129,0.5121134044204292,0.009915925325348574,1.0143108835155097,0.0016753943007327414,-0.012461163291937341,0.015811951893402825,-0.03958431980624121,-0.11090787262119225,0.03173923300870984,-0.4917684230688714,-0.9631667138461155,-0.02037013229162732,1.622642650752215,-0.5413337993464997,3.7866191008509293,0.40373569876888443,-1.7564898519548515,2.5639612494926203,0.8426160165728824,-1.100996790187446,2.786228823333211,-0.9942428555938255,-1.88942278187739,-0.09906292931026095,-0.48448260133095317,-1.640222225716087,0.6712570230541808,0.2685309090656624,-1.1430317917878003,1.6800936099191253,-0.7444253039468344,-1.966879593014291,0.4780289851206224,0.4180731982501155,-0.22651362446321704,1.062660020963448,-0.0014771334347367686,-0.026264945435804873,0.023310678566331334,-0.002859836847461222,-0.029143113576493608,0.023423439881571168,0.01298961980034518,-0.010445504516668942,0.0364247441173593,-0.014016083790378761,-0.02968165554325649,0.0016494879624989675,0.018162950383892474,-0.1424278650345405,0.17875376580232546,0.060124865725914925,-0.12306607935205109,0.24331581080388093,-0.02590235667865252,-0.15118801083270147,0.09938329747539644,-0.028711169461798556,-0.09082978317527282,0.0334074442516757,0.5939700408045984,-0.16293876346275304,1.3508788450719498,-0.6328227809855337,-1.367534363196276,0.1018888012252086,0.3575667861568321,-0.35429917057996124,1.0694327428936254,0.02217613631709215,-0.5044726292278408,0.548824901862025,-0.0035675457058934033,-0.007224203791417041,8.911237963023406e-05,-0.002574976918705938,-0.006295063953116098,0.0011451101157042226,-0.005979377181028531,-0.009571110255823682,-0.00238764410623338,0.004912520004790112,0.0012180976404777004,0.008606942369102524,0.003678805305399603,-0.0004293610389249033,0.00778697164972411
Services,12_month,-8.699321772334166,2167,0.06698093868006427,1.4277979167526482,0.26270680319329376,2.5928890303120027,0.14678038923540032,-0.40929555852917504,0.7028563369999756,-0.015710761198451512,-0.03417544717827248,0.0027539247813694566,0.04724708110591025,-0.030003337241241018,0.12449749945306152,0.8512155296859056,0.20413253054916558,1.4982985288226458,-2.336184813278347,-4.723821523366931,0.051451896810236875,2.0825523789603904,-0.3996943680746381,4.564799125995419,-3.384034153205467,-5.918478764413366,-0.8495895419975685,2.3943131006197014,1.0417440535178546,3.746882147721548,-0.8485952198527624,-2.0382155256534578,0.3410250859479329,1.4248405322648927,-0.16285534448109074,3.012536409010876,-2.435790982108232,-4.086797844461932,-0.7847841197545313,1.537252262024851,0.7380458134236398,2.3364587106260624,0.017303472362263178,-0.014823127103259788,0.049430071827786144,-0.012072368021831165,-0.04778060227844856,0.023635866234786227,0.03782892707873396,0.007230751817417488,0.06842710234005044,-0.00285112584720929,-0.02308648559840671,0.017384233903988126,-0.15149382221937271,-0.30784084713559734,0.004853202696851883,0.21315134001324768,0.03158305099634334,0.394719629030152,-0.018841663493821027,-0.1892186729234345,0.15153534593579246,-0.1279805451179753,-0.21196963920072032,-0.04399145103523028,-1.0984242966307969,-1.95926757117362,-0.23758102208797383,0.9494462458327444,0.04303755613374183,1.855854935531747,-0.6776050637437905,-1.6255748371207477,0.2703647096331667,-0.10067047828473608,-0.7501257803973214,0.5487848238278492,-0.001150842848462757,-0.005188976458923243,0.002887290761997729,-0.004541837172422794,-0.009086225084843802,2.5507399982150833e-06,-0.006446924101894887,-0.011499686098475518,-0.0013941621053142573,0.004760567984435658,-0.0006289498643156696,0.010150085833186986,0.0038353218920800392,-0.0006786756134859297,0.008349319397646007
"Health, Legal & Educational Services",12_month,-13.65091575394893,720,0.2773896143681328,0.161565840653494,-0.9193920695187624,1.2425237508257503,-0.5131004507868951,-1.599153951194105,0.5729530496203147,-0.012410306136279295,-0.027742434185576717,0.002921821913018128,-0.08899573013830878,-0.15749371244237848,-0.020497747834239077,0.8771100319256009,0.2824991806505317,1.47172088320067,0.5306000117115297,-1.601692582435767,2.6628926058588265,-2.3832303540584747,-4.957883016676805,0.1914223085598552,1.6886089508139295,-1.2654721441006969,4.642690045728556,0.49278794216593313,-1.0774877737023425,2.063063658034209,0.9536127283614416,-0.815122284179537,2.7223477409024204,-1.1359914080076068,-2.6308700293493885,0.35888721333417517,1.3139165921775684,-0.3104727089014403,2.938305893256577,-0.7962001062061069,-1.7359089768515554,0.14350876443934169,0.010705390508756721,-0.012407706365178678,0.03381848738269212,0.01417738681194295,-0.01467404679336497,0.04302882041725087,-0.02769350494586614,-0.056718089128923885,0.001331079237191609,0.01839667054583268,-0.0007244172247817503,0.03751775831644712,0.10942650836409107,-0.025710829896521153,0.2445638466247033,-0.009105122458541795,-0.16707639257875562,0.14886614766167205,-0.08795484588399559,-0.25569937937873216,0.07978968761074097,0.022162320144521425,-0.06801996288357662,0.11234460317261946,-0.9756097415905185,-1.817679091737305,-0.1335403914437322,0.30619275251695555,-0.7271921278894559,1.3395776329233668,-0.4152334994545049,-1.415170480768715,0.5847034818597054,-0.10163012337992794,-0.7434178563662937,0.5401576096064378,-0.0015628547256355948,-0.005517879661811508,0.0023921702105403186,-0.009609137626338228,-0.014469384986617678,-0.004748890266058779,0.005754600787260561,0.0007838621061007807,0.010725339468420341,-0.00019657342296605543,-0.005269485029574491,0.00487633818364238,0.004213687213434188,-0.000624428493036986,0.009051802919905361
"Finance, Insurance & Real Estate",12_month,-2.3616946673525794,9299,0.10334047311927541,-0.6781646651431429,-1.1408001248268704,-0.21552920545941534,0.1199849886042901,-0.20495707740909216,0.44492705461767235,-0.0036497592315603263,-0.011199404750389039,0.003899886287268386,0.04970440713320184,0.02547939619147168,0.073929418074932,0.701297795984722,0.4435129264932582,0.9590826654761857,0.820762692683443,-0.10821317489022575,1.7497385602571118,-0.042156102777727356,-0.9725101940492649,0.88819798849381,0.3801336340515259,-0.5638561855156657,1.3241234536187174,-0.47494477329791673,-0.9718503207693436,0.02196077417351011,-0.2799049632562137,-0.8420370216793823,0.2822270951669549,-0.11823222886399154,-0.6705902844382672,0.4341258267102841,0.46491884622700475,-0.13037005383201317,1.0602077462860227,-0.28707279753567105,-0.6204459323681619,0.04630033729681976,-0.0014599137229137629,-0.013472898934019505,0.01055307148819198,0.02491423776154643,0.012015334007075591,0.037813141516017265,-0.032847021455432134,-0.04594793344393367,-0.019746109466930596,0.01941726611296142,0.010477028528779452,0.02835750369714339,-0.09317336627830852,-0.13940276693506368,-0.046943965621553375,0.04052627163580212,-0.010438365849592797,0.09149090912119703,0.01798654227317749,-0.03653251564991902,0.072505600196274,-0.01684221794034537,-0.04744442334347024,0.013759987462779497,-0.9670545267656279,-1.3217016396125472,-0.6124074139187086,-0.10960666852020509,-0.46541980743821354,0.24620647039780338,0.4563260564425914,0.11998941213909997,0.7926627007460828,-0.0674305819247815,-0.3203484690477613,0.18548730519819828,0.0027480246314467672,0.001272668434641097,0.004223380828252438,0.0032270031141443814,0.0014892334425267001,0.004964772785762062,-0.001847744995980041,-0.00370540359407456,9.9136021144777e-06,-0.0016957957925727806,-0.0036022375675454346,0.00021064598239987366,0.002729039649270979,0.0010006308159502574,0.0044574484825917
Unassigned,12_month,-7.931504513684505,1191,0.44849618727400187,-6.295503512417591,-8.147336013227358,-4.443671011607824,-1.8702719562258134,-2.8696683869368913,-0.8708755255147356,0.019583114381940103,0.0008945344723465289,0.03827169429153368,0.13079620694775268,0.019221761038840907,0.24237065285666445,-0.4711401330339079,-1.307482525455874,0.36520225938805817,10.61000428871614,6.845229627789562,14.37477894964272,3.3825824473113033,0.227153706587921,6.538011188034686,-12.999028476818982,-16.27021763136205,-9.727839322275912,5.385438609786777,3.7852935439674584,6.985583675606096,0.904659398738126,-0.7655258134841822,2.574844610960434,1.6958863103257529,0.01145844750895364,3.380314173142552,-0.9389754525137513,-3.0045621019501034,1.1266111969226011,0.1021537385266051,-1.1514796924990716,1.3557871695522818,-0.024177271999929893,-0.05787597957718563,0.009521435577325845,0.0315179464242817,-0.005694684274422546,0.06873057712298594,0.0188578365742146,-0.015010234761120022,0.052725907909549216,-0.017110905569489687,-0.040910892358241115,0.00668908121926174,-0.33655349875856444,-0.5548181842163371,-0.11828881330079177,0.0495651591855429,-0.16558292283220594,0.26471324120329176,0.2646692410725657,0.02500560744046984,0.5043328747046615,-0.15063349746230673,-0.27637687168078884,-0.024890123243824613,-0.405302102218287,-1.5055968027610638,0.6949925983244898,-1.0706846134567671,-2.3068493726480614,0.16548014573452718,1.551920767064879,0.47362955080976143,2.630211983319996,0.41591795006297916,-0.31855463102594783,1.1503905311519063,0.011903472188037008,0.006357457778611246,0.01744948659746277,0.0031293170016336623,-0.0026110962227233556,0.00886973022599068,-0.003293158892290758,-0.009272416716052372,0.0026860989314708575,0.003861361536070007,-0.0029665685658807647,0.010689291638020779,0.0005696298298380945,-0.004919009170214402,0.006058268829890591
