Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
80091583,2012-06,,,,0.0007,,,,Mining & Construction
80091583,2015-03,,,,0.0008,,,,Mining & Construction
80091583,2017-05,,,,,,,,Mining & Construction
80091774,2012-06,,,,0.002,,,,Transportation
80091774,2012-06,,,,0.002,,,,Transportation
80091774,2012-06,,,,0.0006,,,,Transportation
80091774,2014-05,,,,0.0008,,,,Transportation
80091774,2014-05,,,,0.0008,,,,Transportation
80091774,2016-04,,,,0.0006,,,,Transportation
80091774,2016-04,,,,0.0006,,,,Transportation
80091774,2018-03,,,,,,,,Transportation
80091774,2018-03,,,,,,,,Transportation
80091774,2020-01,,,,,,,,Transportation
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.005,,,,Communications
80095907,2012-06,,,,0.005,,,,Communications
80095907,2012-06,,,,0.005,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-06,,,,0.005,,,,Communications
80095907,2012-06,,,,0.005,,,,Communications
80095907,2012-06,,,,0.0137,,,,Communications
80095907,2012-08,,,,0.0137,,,,Communications
80095907,2012-08,,,,0.0137,,,,Communications
80095907,2012-11,,,,0.0137,,,,Communications
80095907,2013-07,,,,,,,,Communications
80095907,2013-07,,,,0.005,,,,Communications
80095907,2016-12,,,,,,,,Communications
80095907,2017-01,,,,0.0024,,,,Communications
80095907,2017-01,,,,0.0024,,,,Communications
80095907,2017-03,,,,,,,,Communications
80095907,2017-03,,,,,,,,Communications
80095907,2017-03,,,,,,,,Communications
80095907,2017-06,,,,,,,,Communications
80095907,2017-08,,,,,,,,Communications
80095907,2018-11,,,,,,,,Communications
80095907,2018-11,,,,,,,,Communications
80095907,2018-11,,,,0.0024,,,,Communications
80095907,2019-01,,,,,,,,Communications
80095907,2019-07,,,,,,,,Communications
80095907,2020-03,,,,,,,,Communications
80095907,2020-03,,,,,,,,Communications
80095907,2020-04,,,,0.0024,,,,Communications
80095907,2020-04,,,,0.0024,,,,Communications
80095907,2020-04,,,,0.0024,,,,Communications
80095907,2020-04,,,,,,,,Communications
80095907,2020-04,,,,,,,,Communications
80095907,2020-04,,,,,,,,Communications
80095907,2020-08,,,,,,,,Communications
80095907,2021-11,,,,,,,,Communications
80095907,2022-11,,,,,,,,Communications
80095922,2012-06,,,,0.0008,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2012-06,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2014-11,,,,0.0006,,,,Utilities
80095922,2015-07,,,,,,,,Utilities
80095922,2016-09,,,,,,,,Utilities
80095922,2016-09,,,,,,,,Utilities
80095922,2016-09,,,,,,,,Utilities
80095922,2016-09,,,,0.0006,,,,Utilities
80095922,2017-11,,,,,,,,Utilities
80095922,2018-05,,,,,,,,Utilities
80095922,2018-05,,,,,,,,Utilities
80095922,2022-03,,,,0.0008,,,,Utilities
80095922,2022-03,,,,0.0006,,,,Utilities
80095922,2022-03,,,,0.0006,,,,Utilities
80095922,2023-06,,,,0.0006,,,,Utilities
80095922,2023-08,,,,,,,,Utilities
80095922,2023-12,,,,0.0008,,,,Utilities
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2012-06,,,,0.0006,,,,Mining & Construction
80095924,2013-12,,,,,,,,Mining & Construction
80095924,2015-06,,,,0.0006,,,,Mining & Construction
80095924,2015-06,,,,0.0006,,,,Mining & Construction
80095924,2016-02,,,,,,,,Mining & Construction
80095924,2016-03,,,,0.0006,,,,Mining & Construction
80095924,2016-03,,,,0.0006,,,,Mining & Construction
80095924,2016-03,,,,0.0006,,,,Mining & Construction
80095924,2016-06,,,,,,,,Mining & Construction
80095924,2016-06,,,,,,,,Mining & Construction
80095924,2016-11,,,,0.0006,,,,Mining & Construction
80095924,2016-11,,,,0.0006,,,,Mining & Construction
80095924,2018-02,,,,,,,,Mining & Construction
80095924,2018-02,,,,0.0006,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-08,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2019-09,,,,0.0008,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-03,,,,0.0024,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
80095924,2020-05,,,,0.0103,,,,Mining & Construction
