Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector,rating_category
80091583.0,2012-06,,,,0.0007,,,,Mining & Construction,Standard
80091583.0,2015-03,,,,0.0008,,,,Mining & Construction,Standard
80091583.0,2017-05,,,,,,,,Mining & Construction,WD
80091774.0,2012-06,,,,0.0015333333333333334,,,,Transportation,Standard
80091774.0,2014-05,,,,0.0008,,,,Transportation,Standard
80091774.0,2016-04,,,,0.0006,,,,Transportation,Standard
80091774.0,2018-03,,,,,,,,Transportation,WD
80095907.0,2012-06,,,,0.010075,,,,Communications,Standard
80095907.0,2012-08,,,,0.0137,,,,Communications,Standard
80095907.0,2012-11,,,,0.0137,,,,Communications,Standard
80095907.0,2013-07,,,,0.005,,,,Communications,Standard
80095907.0,2013-07,,,,,,,,Communications,WD
80095907.0,2017-01,,,,0.0024,,,,Communications,Standard
80095907.0,2017-06,,,,,,,,Communications,WD
80095907.0,2018-11,,,,0.0024,,,,Communications,Standard
80095907.0,2019-01,,,,,,,,Communications,WD
80095907.0,2019-07,,,,,,,,Communications,WD
80095907.0,2020-04,,,,0.0024,,,,Communications,Standard
80095907.0,2020-04,,,,,,,,Communications,WD
80095915.0,2012-06,,,,0.20655714285714286,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2013-09,,,,0.0193,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2014-09,,,,0.2387,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2016-11,,,,0.2387,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2017-01,,,,0.2387,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2018-10,,,,0.2387,,,,"Finance, Insurance & Real Estate",Standard
80095915.0,2018-11,,,,,,,,"Finance, Insurance & Real Estate",WD
80095922.0,2012-06,,,,0.0006222222222222223,,,,Utilities,Standard
80095922.0,2014-11,,,,0.0006,,,,Utilities,Standard
80095922.0,2015-07,,,,,,,,Utilities,WD
80095922.0,2016-09,,,,0.0006,,,,Utilities,Standard
80095922.0,2016-09,,,,,,,,Utilities,WD
80095922.0,2017-11,,,,,,,,Utilities,WD
80095922.0,2018-05,,,,,,,,Utilities,WD
80095922.0,2022-03,,,,0.0006666666666666666,,,,Utilities,Standard
80095922.0,2023-06,,,,0.0006,,,,Utilities,Standard
80095922.0,2023-12,,,,0.0008,,,,Utilities,Standard
80095924.0,2012-06,,,,0.0006,,,,Mining & Construction,Standard
80095924.0,2015-06,,,,0.0006,,,,Mining & Construction,Standard
80095924.0,2016-03,,,,0.0006,,,,Mining & Construction,Standard
80095924.0,2016-06,,,,,,,,Mining & Construction,WD
80095924.0,2016-11,,,,0.0006,,,,Mining & Construction,Standard
80095924.0,2018-02,,,,0.0006,,,,Mining & Construction,Standard
80095924.0,2019-08,,,,0.0008,,,,Mining & Construction,Standard
80095924.0,2019-09,,,,0.0008000000000000001,,,,Mining & Construction,Standard
80095924.0,2020-03,,,,0.0024,,,,Mining & Construction,Standard
80095924.0,2020-03,,,,,,,,Mining & Construction,WD
80095924.0,2020-05,,,,0.0103,,,,Mining & Construction,Standard
80095924.0,2020-06,,,,0.005,,,,Mining & Construction,Standard
80095924.0,2020-08,,,,0.005,,,,Mining & Construction,Standard
80095924.0,2020-10,,,,,,,,Mining & Construction,WD
80095924.0,2020-12,,,,0.005,,,,Mining & Construction,Standard
80095924.0,2021-01,,,,,,,,Mining & Construction,WD
80095924.0,2021-04,,,,0.005,,,,Mining & Construction,Standard
80095924.0,2021-10,,,,,,,,Mining & Construction,WD
80095924.0,2021-12,,,,0.0027159999999999997,,,,Mining & Construction,Standard
80095924.0,2021-12,,,,,,,,Mining & Construction,WD
80095924.0,2022-01,,,,,,,,Mining & Construction,WD
80095924.0,2022-11,,,,,,,,Mining & Construction,WD
80095924.0,2022-12,,,,,,,,Mining & Construction,WD
80095924.0,2023-05,,,,0.002,,,,Mining & Construction,Standard
80095924.0,2024-01,,,,0.002,,,,Mining & Construction,Standard
80095924.0,2024-07,,,,0.002,,,,Mining & Construction,Standard
80095924.0,2024-08,,,,0.002,,,,Mining & Construction,Standard
80095924.0,2024-09,,,,,,,,Mining & Construction,WD
80095924.0,2025-01,,,,,,,,Mining & Construction,WD
80095932.0,2012-06,,,,0.00065,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2013-05,,,,0.00065,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2015-04,,,,0.0006,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2016-04,,,,0.0006,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2020-05,,,,0.0006,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2023-10,,,,0.0006,,,,"Finance, Insurance & Real Estate",Standard
80095932.0,2024-11,,,,,,,,"Finance, Insurance & Real Estate",WD
80095935.0,2012-06,,,,0.0008,,,,Heavy Manufacturing,Standard
80095935.0,2013-06,,,,,,,,Heavy Manufacturing,WD
80095935.0,2016-08,,,,0.0008,,,,Heavy Manufacturing,Standard
80095935.0,2016-12,,,,,,,,Heavy Manufacturing,WD
80095936.0,2012-06,,,,0.0006,,,,Light Manufacturing,Standard
80095936.0,2013-05,,,,0.0006,,,,Light Manufacturing,Standard
80095936.0,2013-09,,,,,,,,Light Manufacturing,WD
80095936.0,2014-10,,,,0.0006,,,,Light Manufacturing,Standard
80095936.0,2015-10,,,,0.0006,,,,Light Manufacturing,Standard
80095936.0,2023-10,,,,0.0008,,,,Light Manufacturing,Standard
80095936.0,2024-08,,,,0.0008,,,,Light Manufacturing,Standard
80095938.0,2012-06,,,,0.002,,,,Heavy Manufacturing,Standard
80095938.0,2013-01,,,,0.002,,,,Heavy Manufacturing,Standard
80095938.0,2013-02,,,,,,,,Heavy Manufacturing,WD
80095938.0,2014-12,,,,,,,,Heavy Manufacturing,WD
80095938.0,2016-05,,,,0.0007,,,,Heavy Manufacturing,Standard
80095938.0,2016-12,,,,0.0007,,,,Heavy Manufacturing,Standard
80095938.0,2018-06,,,,,,,,Heavy Manufacturing,WD
80095938.0,2019-05,,,,0.0007,,,,Heavy Manufacturing,Standard
80095938.0,2019-12,,,,0.0007,,,,Heavy Manufacturing,Standard
80095938.0,2020-03,,,,0.002,,,,Heavy Manufacturing,Standard
80095938.0,2020-04,,,,0.002,,,,Heavy Manufacturing,Standard
80095938.0,2020-05,,,,0.0024,,,,Heavy Manufacturing,Standard
80095938.0,2021-03,,,,0.0024,,,,Heavy Manufacturing,Standard
80095938.0,2021-11,,,,0.0024,,,,Heavy Manufacturing,Standard
80095938.0,2021-12,,,,,,,,Heavy Manufacturing,WD
80095938.0,2022-08,,,,0.0024,,,,Heavy Manufacturing,Standard
80095938.0,2022-09,,,,,,,,Heavy Manufacturing,WD
80095938.0,2023-09,,,,0.002,,,,Heavy Manufacturing,Standard
80095966.0,2018-09,,,,0.00224,,,,Heavy Manufacturing,Standard
80095966.0,2020-12,,,,,,,,Heavy Manufacturing,WD
80095966.0,2021-01,,,,0.0024,,,,Heavy Manufacturing,Standard
80095966.0,2021-03,,,,,,,,Heavy Manufacturing,WD
