Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
92114297.0,2016-06,,,,0.005,,,,Apparel & Textile Products
92114297.0,2019-03,,,,0.0103,,,,Apparel & Textile Products
92114297.0,2020-04,,,,0.0137,,,,Apparel & Textile Products
92114297.0,2020-09,,,,0.0193,,,,Apparel & Textile Products
92114297.0,2021-06,,,,,,,,Apparel & Textile Products
94088891.0,2014-05,,,,0.0103,,,,Instruments & Related Products
94088891.0,2014-05,,,,0.0103,,,,Instruments & Related Products
94088891.0,2017-10,,,,,,,,Instruments & Related Products
94088891.0,2017-10,,,,,,,,Instruments & Related Products
94088891.0,2017-10,,,,0.0137,,,,Instruments & Related Products
94088891.0,2017-10,,,,0.0137,,,,Instruments & Related Products
94088891.0,2017-10,,,,0.0137,,,,Instruments & Related Products
94088891.0,2017-10,,,,0.0137,,,,Instruments & Related Products
94088891.0,2021-06,,,,,,,,Instruments & Related Products
94088891.0,2021-06,,,,,,,,Instruments & Related Products
94088891.0,2021-06,,,,,,,,Instruments & Related Products
94088891.0,2021-06,,,,,,,,Instruments & Related Products
97379837.0,2022-08,,,,0.0024,,,,Amusement & Recreation Services
97379837.0,2022-08,,,,0.0024,,,,Amusement & Recreation Services
97379837.0,2024-03,,,,0.0103,,,,Amusement & Recreation Services
97379837.0,2024-03,,,,0.0103,,,,Amusement & Recreation Services
97379837.0,2024-05,,,,0.0103,,,,Amusement & Recreation Services
97484018.0,2023-10,,,,0.002,,,,Communications
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-06,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-11,,,,,,,,Electronic & Electrical Equipment
80365986.0,2012-11,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2012-11,,,,0.0007,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
80365986.0,2013-03,,,,,,,,Electronic & Electrical Equipment
96566220.0,2018-03,,,,0.0007,,,,Industrial Machinery & Equipment
96566220.0,2018-03,,,,0.0007,,,,Industrial Machinery & Equipment
96566220.0,2018-03,,,,0.0007,,,,Industrial Machinery & Equipment
96566220.0,2018-03,,,,0.0007,,,,Industrial Machinery & Equipment
96566220.0,2018-05,,,,,,,,Industrial Machinery & Equipment
96566220.0,2018-09,,,,0.0007,,,,Industrial Machinery & Equipment
96566220.0,2018-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2018-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2018-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2018-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2019-09,,,,,,,,Industrial Machinery & Equipment
96566220.0,2019-11,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2020-10,,,,,,,,Industrial Machinery & Equipment
96566220.0,2020-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2020-12,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2021-02,,,,0.0008,,,,Industrial Machinery & Equipment
96566220.0,2022-10,,,,0.0008,,,,Industrial Machinery & Equipment
