Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
92114297.0,2016-06,,,,0.005,,,,Light Manufacturing
92114297.0,2019-03,,,,0.0103,,,,Light Manufacturing
92114297.0,2020-04,,,,0.0137,,,,Light Manufacturing
92114297.0,2020-09,,,,0.0193,,,,Light Manufacturing
92114297.0,2021-06,,,,,,,,Light Manufacturing
94088891.0,2014-05,,,,0.0103,,,,Heavy Manufacturing
94088891.0,2014-05,,,,0.0103,,,,Heavy Manufacturing
94088891.0,2017-10,,,,,,,,Heavy Manufacturing
94088891.0,2017-10,,,,,,,,Heavy Manufacturing
94088891.0,2017-10,,,,0.0137,,,,Heavy Manufacturing
94088891.0,2017-10,,,,0.0137,,,,Heavy Manufacturing
94088891.0,2017-10,,,,0.0137,,,,Heavy Manufacturing
94088891.0,2017-10,,,,0.0137,,,,Heavy Manufacturing
94088891.0,2021-06,,,,,,,,Heavy Manufacturing
94088891.0,2021-06,,,,,,,,Heavy Manufacturing
94088891.0,2021-06,,,,,,,,Heavy Manufacturing
94088891.0,2021-06,,,,,,,,Heavy Manufacturing
97379837.0,2022-08,,,,0.0024,,,,Services
97379837.0,2022-08,,,,0.0024,,,,Services
97379837.0,2024-03,,,,0.0103,,,,Services
97379837.0,2024-03,,,,0.0103,,,,Services
97379837.0,2024-05,,,,0.0103,,,,Services
97484018.0,2023-10,,,,0.002,,,,"Transportation, Communications & Utilities"
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-06,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-11,,,,,,,,Heavy Manufacturing
80365986.0,2012-11,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2012-11,,,,0.0007,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
80365986.0,2013-03,,,,,,,,Heavy Manufacturing
96566220.0,2018-03,,,,0.0007,,,,Heavy Manufacturing
96566220.0,2018-03,,,,0.0007,,,,Heavy Manufacturing
96566220.0,2018-03,,,,0.0007,,,,Heavy Manufacturing
96566220.0,2018-03,,,,0.0007,,,,Heavy Manufacturing
96566220.0,2018-05,,,,,,,,Heavy Manufacturing
96566220.0,2018-09,,,,0.0007,,,,Heavy Manufacturing
96566220.0,2018-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2018-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2018-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2018-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2019-09,,,,,,,,Heavy Manufacturing
96566220.0,2019-11,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2020-10,,,,,,,,Heavy Manufacturing
96566220.0,2020-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2020-12,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2021-02,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2022-10,,,,0.0008,,,,Heavy Manufacturing
96566220.0,2022-12,,,,,,,,Heavy Manufacturing
96566220.0,2024-06,,,,,,,,Heavy Manufacturing
96566220.0,2024-06,,,,,,,,Heavy Manufacturing
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
80370840.0,2012-06,,,,0.0007,,,,"Finance, Insurance & Real Estate"
