Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
96845142.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing
91848891.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
96607139.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail
97636251.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting
97636251.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting
97636251.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
92468729.0,2024-08-01,,,,0.2387,,,,Industrial & Manufacturing
97639728.0,2024-08-01,,,,0.0058,,,,Financial Services
97509152.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing
97509152.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing
97203894.0,2024-08-01,,,,0.0058,,,,Financial Services
97203894.0,2024-08-01,,,,0.0058,,,,Financial Services
97089270.0,2024-08-01,,,,0.0005,,,,Technology & Software
97089270.0,2024-08-01,,,,0.0005,,,,Technology & Software
81657868.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
81657868.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
97595366.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing
97295321.0,2024-08-01,,,,0.0005,,,,Transportation & Logistics
97624696.0,2024-08-01,,,,0.0058,,,,Industrial & Manufacturing
97615644.0,2024-08-01,,,,0.0058,,,,Energy & Resources
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software
97115239.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80105071.0,2024-08-01,,,,0.0202,,,,Energy & Resources
81781068.0,2024-08-01,,,,0.0012,,,,Energy & Resources
81781068.0,2024-08-01,,,,0.0012,,,,Energy & Resources
97631068.0,2024-08-01,,,,0.0005,,,,Financial Services
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources
