Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector,1_month_correlation,3_month_correlation,6_month_correlation,12_month_correlation,24_month_correlation,36_month_correlation,60_month_correlation
96845142.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing,,,,0.1637062775485828,,,
91848891.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
96607139.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail,,,,0.1637062775485828,,,
97636251.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting,,,,0.23301174403010982,,,
97636251.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting,,,,0.23301174403010982,,,
97636251.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
92468729.0,2024-08-01,,,,0.2387,,,,Industrial & Manufacturing,,,,0.12000078682219927,,,
97639728.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
97509152.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing,,,,0.1637062775485828,,,
97509152.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing,,,,0.1637062775485828,,,
97203894.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
97203894.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
97089270.0,2024-08-01,,,,0.0005,,,,Technology & Software,,,,0.2370371894433999,,,
97089270.0,2024-08-01,,,,0.0005,,,,Technology & Software,,,,0.2370371894433999,,,
81657868.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail,,,,0.23301174403010982,,,
81657868.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail,,,,0.23301174403010982,,,
97595366.0,2024-08-01,,,,0.0005,,,,Industrial & Manufacturing,,,,0.2370371894433999,,,
97295321.0,2024-08-01,,,,0.0005,,,,Transportation & Logistics,,,,0.2370371894433999,,,
97624696.0,2024-08-01,,,,0.0058,,,,Industrial & Manufacturing,,,,0.2097916281094278,,,
97615644.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
96473153.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
97115239.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80105071.0,2024-08-01,,,,0.0202,,,,Energy & Resources,,,,0.1637062775485828,,,
81781068.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
81781068.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
97631068.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96625490.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
88069401.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail,,,,0.1637062775485828,,,
83748066.0,2024-08-01,,,,0.2387,,,,Industrial & Manufacturing,,,,0.12000078682219927,,,
