Sector,n_obs,OLS current CV R²,OLS current CV RMSE,OLS current antal variabler,OLS lagged CV R²,OLS lagged CV RMSE,OLS lagged antal variabler,Elastic Net CV R²,Elastic Net CV RMSE,Elastic Net antal variabler,Elastic Net antal valda variabler
Communications,148,-35.18622442401202,0.7348809374413895,6,-112.6925789373179,1.0913510003217208,18,-14.170201604384232,0.5804706106211293,18,12
"Finance, Insurance & Real Estate",148,-29.594820958781348,0.3686392550378951,6,-35.26473128848768,0.46101919462079044,18,-22.014246925868076,0.41405108834954263,18,17
"Health, Legal & Educational Services",148,-5.072668350353027,0.42352589386643424,6,-79.68155661163475,0.9140810855066874,18,-12.378315679551013,0.5235688496713087,18,9
Heavy Manufacturing,148,-1.8718057693791539,0.18324246794421356,6,-8.750259545546303,0.34194522213766454,18,-0.845688787958154,0.1436307578949897,18,3
Light Manufacturing,148,-7.152414533904826,0.3865613368574999,6,-191.04637321511046,1.0424500000745267,18,-50.94910538117786,0.6585282732122266,18,16
Mining & Construction,148,-13.851264862486937,0.5060456681588441,6,-29.57536355606401,0.7693340573086271,18,-1.9363645592735204,0.26409237250119727,18,3
Public Administration,148,-39.45371216869872,1.4630490810141135,6,-148.9381011950465,3.0294396155238803,18,-0.6802675227333564,0.7651145668839382,18,0
Services,148,-0.7088741820448058,0.13211539087910087,6,-33.493530610105786,0.36541716581330624,18,-20.72636040430387,0.3012023454096605,18,12
Transportation,148,-3.129668877072571,0.48833659013055997,6,-220.222158408937,1.792043566144385,18,-3.748505562797733,0.4729555776761273,18,2
Utilities,148,-82.48659567659945,0.5848905234406245,6,-147.7381411378314,0.6991739400222988,18,-46.22654796865448,0.5023213199115381,18,12
Wholesale & Retail Trade,148,-8.968362462699194,0.40136056619914023,6,-275.056199221264,1.0169046710201606,18,-2.4626792894113643,0.28094218191962206,18,0
