Sector,variable,n_obs,beta,ci_lower_999,ci_upper_999
Communications,Brent_Oil,148,-0.008265015299053607,-0.012306689595163667,-0.0042233410029435476
Communications,CPI,148,0.4852173599475754,0.05592113905068702,0.9145135808444638
Communications,Fuel_Index,148,0.012269217911426348,0.007023722651779154,0.017514713171073542
Communications,GDP_Growth,148,-0.060119649433232815,-0.10539051718212238,-0.014848781684343254
Communications,GPR_Global,148,-0.002499305577896359,-0.005245204585773917,0.0002465934299811989
Communications,Interest_Rate,148,0.13139852902677718,0.08224973812527635,0.180547319928278
"Finance, Insurance & Real Estate",Brent_Oil,148,-0.012385821646471538,-0.014720617835421057,-0.010051025457522018
"Finance, Insurance & Real Estate",CPI,148,0.35840136660366334,0.11040533648189524,0.6063973967254315
"Finance, Insurance & Real Estate",Fuel_Index,148,0.010914967529214578,0.007884747515403861,0.013945187543025294
"Finance, Insurance & Real Estate",GDP_Growth,148,-1.3819295431447754e-05,-0.02616591413203795,0.02613827554117505
"Finance, Insurance & Real Estate",GPR_Global,148,0.0019247963139621157,0.0003385441646973379,0.0035110484632268936
"Finance, Insurance & Real Estate",Interest_Rate,148,0.07984496726309138,0.05145267207029336,0.10823726245588941
"Health, Legal & Educational Services",Brent_Oil,148,-0.015492898609998277,-0.019641360477717293,-0.011344436742279262
"Health, Legal & Educational Services",CPI,148,0.12052009987222266,-0.3201188214927866,0.5611590212372319
"Health, Legal & Educational Services",Fuel_Index,148,0.005172924606778218,-0.00021116512130576505,0.0105570143348622
"Health, Legal & Educational Services",GDP_Growth,148,0.004275174656037664,-0.04219182263653802,0.05074217194861334
"Health, Legal & Educational Services",GPR_Global,148,0.0047467889634799235,0.0019283388627998354,0.007565239064160012
"Health, Legal & Educational Services",Interest_Rate,148,0.014233066972278913,-0.03621431447446674,0.06468044841902457
Heavy Manufacturing,Brent_Oil,148,-0.004129806620652817,-0.005752940465315603,-0.0025066727759900315
Heavy Manufacturing,CPI,148,-0.020920790318515233,-0.19332588149427288,0.1514843008572424
Heavy Manufacturing,Fuel_Index,148,0.001908943742001839,-0.00019764384130393792,0.004015531325307616
Heavy Manufacturing,GDP_Growth,148,0.01165859788895409,-0.006522154006664435,0.029839349784572616
Heavy Manufacturing,GPR_Global,148,-0.0001865826811045415,-0.0012893339884035156,0.0009161686261944327
Heavy Manufacturing,Interest_Rate,148,-0.015074667375747076,-0.0348127907602218,0.004663456008727647
Light Manufacturing,Brent_Oil,148,-0.01122611400958708,-0.015360267362497185,-0.0070919606566769745
Light Manufacturing,CPI,148,0.23675889079376464,-0.202360217027629,0.6758779986151583
Light Manufacturing,Fuel_Index,148,0.014391810527906264,0.009026291135060566,0.01975732992075196
Light Manufacturing,GDP_Growth,148,-0.020567697130225448,-0.06687442448659658,0.025739030226145692
Light Manufacturing,GPR_Global,148,0.0009687953032269217,-0.0018399336438570447,0.003777524250310888
Light Manufacturing,Interest_Rate,148,0.059128121725841656,0.008854739011040065,0.10940150444064325
Mining & Construction,Brent_Oil,148,-0.01068799037453301,-0.013246640635875842,-0.008129340113190178
Mining & Construction,CPI,148,0.3205426224235327,0.04876939001623681,0.5923158548308286
Mining & Construction,Fuel_Index,148,0.0009527565354059878,-0.002367992944552453,0.004273506015364428
Mining & Construction,GDP_Growth,148,-0.01966421377168089,-0.04832370216944632,0.008995274626084543
Mining & Construction,GPR_Global,148,2.424189565257435e-05,-0.0017140959067994848,0.0017625796981046336
Mining & Construction,Interest_Rate,148,-0.01426673452937307,-0.04538120775791667,0.01684773869917053
Public Administration,Brent_Oil,148,0.0010318090084063757,-0.009616873743782558,0.01168049176059531
Public Administration,CPI,148,-0.584342069334804,-1.715417690011216,0.5467335513416078
Public Administration,Fuel_Index,148,0.005506863919929978,-0.008313550790838398,0.019327278630698354
Public Administration,GDP_Growth,148,0.09526130384466425,-0.02401478652169789,0.21453739421102638
Public Administration,GPR_Global,148,-0.0027395766883756213,-0.00997425352331527,0.004495100146564028
Public Administration,Interest_Rate,148,-0.11728201389723363,-0.24677534849558896,0.012211320701121728
Services,Brent_Oil,148,-0.00640124214988211,-0.008123333994296145,-0.004679150305468074
Services,CPI,148,0.11844288260114132,-0.06447327211123387,0.3013590373135165
Services,Fuel_Index,148,0.007361452584319735,0.00512643215844202,0.00959647301019745
Services,GDP_Growth,148,-0.002490115018396792,-0.021779297280050798,0.016799067243257214
Services,GPR_Global,148,-0.0005285391697928873,-0.0016985221868810528,0.0006414438472952781
Services,Interest_Rate,148,-0.008691629544201374,-0.029633131944765054,0.012249872856362306
Transportation,Brent_Oil,148,-0.0032402276012089785,-0.008640597379034654,0.002160142176616698
Transportation,CPI,148,0.017674700114573436,-0.555938650990352,0.5912880512194988
Transportation,Fuel_Index,148,0.017513271867063307,0.010504390894840808,0.024522152839285806
Transportation,GDP_Growth,148,0.02001676146288466,-0.0404728792393232,0.08050640216509251
Transportation,GPR_Global,148,-0.0017714918404242482,-0.005440483681101671,0.0018975000002531743
Transportation,Interest_Rate,148,0.009347738106978719,-0.05632347277129413,0.07501894898525158
Utilities,Brent_Oil,148,-0.008641202285995356,-0.011965896218890434,-0.005316508353100279
Utilities,CPI,148,0.41506714943037754,0.06192673373573221,0.7682075651250229
