Sector,variable,n_obs,beta,ci_lower_999,ci_upper_999
Communications,Brent_Oil,148,0.002330506777210803,-0.0058389591688085595,0.010499972723230167
Communications,Brent_Oil_lag1,148,-0.0010132287245262462,-0.011058971971966,0.009032514522913508
Communications,Brent_Oil_lag2,148,-0.007529526232789062,-0.014993523606100803,-6.552885947732224e-05
Communications,CPI,148,0.26072121714136826,-0.1479074870180811,0.6693499213008176
Communications,CPI_lag1,148,0.12184956038646363,-0.29960148909125284,0.54330060986418
Communications,CPI_lag2,148,0.2399299512671223,-0.16927756170567043,0.649137464239915
Communications,Fuel_Index,148,0.021850047996535372,0.007399169387401497,0.03630092660566925
Communications,Fuel_Index_lag1,148,-0.009438764592220514,-0.031375837212521435,0.012498308028080402
Communications,Fuel_Index_lag2,148,-0.00447123598941506,-0.021023409604195145,0.012080937625365024
Communications,GDP_Growth,148,-0.10329288465390023,-0.15856401466258074,-0.0480217546452197
Communications,GDP_Growth_lag1,148,-0.06053062302305506,-0.107001111873144,-0.014060134172966116
Communications,GDP_Growth_lag2,148,-0.04675401797797471,-0.0881793945544955,-0.005328641401453914
Communications,GPR_Global,148,-0.0024423537412829968,-0.004727987150679432,-0.00015672033188656115
Communications,GPR_Global_lag1,148,-0.0013999256682900357,-0.003960643394170119,0.0011607920575900474
Communications,GPR_Global_lag2,148,-0.00021614074242843652,-0.0029202316496060904,0.0024879501647492174
Communications,Interest_Rate,148,0.29488907072156534,-0.016731451365542827,0.6065095928086734
Communications,Interest_Rate_lag1,148,-0.24870251154515333,-0.7674345886095957,0.270029565519289
Communications,Interest_Rate_lag2,148,0.11859801505155168,-0.15701097696174335,0.3942070070648467
"Finance, Insurance & Real Estate",Brent_Oil,148,-0.008862368959890666,-0.013707942592336281,-0.004016795327445051
"Finance, Insurance & Real Estate",Brent_Oil_lag1,148,-0.0039785656689650594,-0.009937019859208805,0.001979888521278686
"Finance, Insurance & Real Estate",Brent_Oil_lag2,148,-0.0022743952724685,-0.006701532750455727,0.0021527422055187275
"Finance, Insurance & Real Estate",CPI,148,0.19928630882732287,-0.04308454961296945,0.44165716726761517
"Finance, Insurance & Real Estate",CPI_lag1,148,0.13298744879488278,-0.11698875604024725,0.38296365363001283
"Finance, Insurance & Real Estate",CPI_lag2,148,0.058285694183469135,-0.1844284744245497,0.300999862791488
"Finance, Insurance & Real Estate",Fuel_Index,148,0.003342047318706202,-0.005229234674116185,0.011913329311528588
"Finance, Insurance & Real Estate",Fuel_Index_lag1,148,0.004524184401283456,-0.008487400611047635,0.017535769413614545
"Finance, Insurance & Real Estate",Fuel_Index_lag2,148,0.004746086913595594,-0.005071540891869563,0.01456371471906075
"Finance, Insurance & Real Estate",GDP_Growth,148,-0.004482301275663303,-0.03726539039987143,0.028300787848544822
"Finance, Insurance & Real Estate",GDP_Growth_lag1,148,-0.007336935921309595,-0.03490008104569411,0.02022620920307492
"Finance, Insurance & Real Estate",GDP_Growth_lag2,148,-0.0026585299296595873,-0.0272292563124688,0.021912196453149624
"Finance, Insurance & Real Estate",GPR_Global,148,0.0016021028983165167,0.0002464200354233034,0.00295778576120973
"Finance, Insurance & Real Estate",GPR_Global_lag1,148,0.0008492670751165775,-0.0006695771644761706,0.0023681113147093254
"Finance, Insurance & Real Estate",GPR_Global_lag2,148,6.213139472649887e-05,-0.001541752100979908,0.0016660148904329057
"Finance, Insurance & Real Estate",Interest_Rate,148,0.13371743769742023,-0.05111474045615638,0.31854961585099684
"Finance, Insurance & Real Estate",Interest_Rate_lag1,148,-0.06268145255040734,-0.3703581711432498,0.2449952660424351
"Finance, Insurance & Real Estate",Interest_Rate_lag2,148,-0.006788094589291628,-0.17026067326076055,0.15668448408217728
"Health, Legal & Educational Services",Brent_Oil,148,-0.011238523790315749,-0.021118253882830413,-0.0013587936978010848
"Health, Legal & Educational Services",Brent_Oil_lag1,148,-0.005744396224712367,-0.017893199159837704,0.006404406710412971
"Health, Legal & Educational Services",Brent_Oil_lag2,148,-0.0019189725475862907,-0.01094554539173774,0.00710760029656516
"Health, Legal & Educational Services",CPI,148,-0.0661867432677592,-0.5603611889200498,0.42798770238453143
"Health, Legal & Educational Services",CPI_lag1,148,-0.08647637507077331,-0.5961575027674667,0.42320475262592006
"Health, Legal & Educational Services",CPI_lag2,148,-0.05343512976446756,-0.5483095568952032,0.44143929736626814
"Health, Legal & Educational Services",Fuel_Index,148,-0.002505452967302599,-0.019981599046043845,0.014970693111438645
"Health, Legal & Educational Services",Fuel_Index_lag1,148,0.005510925181304304,-0.021018637208764915,0.032040487571373524
"Health, Legal & Educational Services",Fuel_Index_lag2,148,0.006197523796445355,-0.013819819912313458,0.026214867505204166
"Health, Legal & Educational Services",GDP_Growth,148,-0.007014609564999906,-0.07385665897217386,0.059827439842174056
"Health, Legal & Educational Services",GDP_Growth_lag1,148,-0.013905416971174474,-0.07010442558933254,0.0422935916469836
"Health, Legal & Educational Services",GDP_Growth_lag2,148,0.0030799787575034126,-0.04701773170008476,0.053177689215091584
"Health, Legal & Educational Services",GPR_Global,148,0.004373792260022399,0.0016096652871602567,0.007137919232884541
"Health, Legal & Educational Services",GPR_Global_lag1,148,0.0019514318767428055,-0.0011453678580232614,0.005048231611508872
"Health, Legal & Educational Services",GPR_Global_lag2,148,0.00045505474883925784,-0.0028151331049403126,0.0037252426026188282
"Health, Legal & Educational Services",Interest_Rate,148,0.06132354761432157,-0.31553421393975745,0.4381813091684006
"Health, Legal & Educational Services",Interest_Rate_lag1,148,-0.018776423321095036,-0.6461042003862988,0.6085513537441086
"Health, Legal & Educational Services",Interest_Rate_lag2,148,-0.05879192655690587,-0.39209920394241965,0.27451535082860795
Heavy Manufacturing,Brent_Oil,148,-0.0052150214936479665,-0.00915062851785193,-0.0012794144694440023
Heavy Manufacturing,Brent_Oil_lag1,148,-0.0004817019666758842,-0.005321197956892689,0.00435779402354092
Heavy Manufacturing,Brent_Oil_lag2,148,0.0010092310330449903,-0.002586519372813425,0.004604981438903405
Heavy Manufacturing,CPI,148,-0.037236002074221314,-0.23409121990702247,0.15961921575857985
Heavy Manufacturing,CPI_lag1,148,-0.0551978501212177,-0.25823018070958764,0.14783448046715225
Heavy Manufacturing,CPI_lag2,148,0.026221142952905025,-0.17091291367382921,0.22335519957963929
Heavy Manufacturing,Fuel_Index,148,0.00038514845373865405,-0.006576503597426074,0.007346800504903383
Heavy Manufacturing,Fuel_Index_lag1,148,0.0042179489343677455,-0.006350146662749776,0.014786044531485267
Heavy Manufacturing,Fuel_Index_lag2,148,-0.0019149271860695834,-0.009888869567935244,0.0060590151957960765
Heavy Manufacturing,GDP_Growth,148,0.00744965164324307,-0.019176990653227317,0.03407629393971346
Heavy Manufacturing,GDP_Growth_lag1,148,-0.006758874152050851,-0.02914584333033802,0.015628095026236313
Heavy Manufacturing,GDP_Growth_lag2,148,-0.004075101381181652,-0.024031608221667257,0.01588140545930395
Heavy Manufacturing,GPR_Global,148,-0.00012897363443002113,-0.0012300682421086204,0.0009721209732485781
Heavy Manufacturing,GPR_Global_lag1,148,-0.0001548714216578259,-0.0013884867810422213,0.0010787439377265696
Heavy Manufacturing,GPR_Global_lag2,148,-0.0004739049459157491,-0.001776589752816739,0.0008287798609852407
Heavy Manufacturing,Interest_Rate,148,0.030249092377775642,-0.11987282791858236,0.18037101267413366
Heavy Manufacturing,Interest_Rate_lag1,148,0.013387921412660306,-0.23650914893004443,0.26328499175536507
Heavy Manufacturing,Interest_Rate_lag2,148,-0.0656182969034824,-0.19839180891375297,0.06715521510678814
Light Manufacturing,Brent_Oil,148,-0.0164117690359847,-0.02615103738128287,-0.006672500690686535
Light Manufacturing,Brent_Oil_lag1,148,-0.0013774598866925466,-0.013353541292901876,0.010598621519516783
Light Manufacturing,Brent_Oil_lag2,148,0.004685809316705596,-0.004212431257111148,0.01358404989052234
Light Manufacturing,CPI,148,0.3168192545793345,-0.17032943172365406,0.803967940882323
Light Manufacturing,CPI_lag1,148,0.25969497706379147,-0.24273993023526236,0.7621298843628452
Light Manufacturing,CPI_lag2,148,0.09988014566947102,-0.38795857036018805,0.5877188616991301
Light Manufacturing,Fuel_Index,148,0.003955078984369466,-0.013272605852025637,0.021182763820764568
Light Manufacturing,Fuel_Index_lag1,148,0.00828494165297249,-0.017867445586429248,0.03443732889237423
Light Manufacturing,Fuel_Index_lag2,148,0.0035997384300796875,-0.01613301541178633,0.02333249227194571
Light Manufacturing,GDP_Growth,148,-0.014881517172163208,-0.08077326217229912,0.051010227827972696
Light Manufacturing,GDP_Growth_lag1,148,0.0010364530857750335,-0.05436356498624227,0.05643647115779234
Light Manufacturing,GDP_Growth_lag2,148,0.0009647040569007322,-0.048420759013711706,0.05035016712751317
Light Manufacturing,GPR_Global,148,0.0006185447983139609,-0.002106284126878779,0.003343373723506701
Light Manufacturing,GPR_Global_lag1,148,0.00042212771759024813,-0.002630644306150151,0.003474899741330647
Light Manufacturing,GPR_Global_lag2,148,-0.00019495901421530014,-0.003418654069571555,0.0030287360411409545
Light Manufacturing,Interest_Rate,148,0.0934414916680463,-0.2780584211245478,0.4649414044606405
Light Manufacturing,Interest_Rate_lag1,148,-0.18565035464972152,-0.8040593095589654,0.43275860025952245
Light Manufacturing,Interest_Rate_lag2,148,0.13900850563279016,-0.18956008738552477,0.4675770986511051
Mining & Construction,Brent_Oil,148,-0.006253082952645284,-0.012176687327877028,-0.00032947857741353996
Mining & Construction,Brent_Oil_lag1,148,-0.0015765996535677283,-0.008860675387059723,0.005707476079924266
Mining & Construction,Brent_Oil_lag2,148,-0.0029935290065399942,-0.008405604629281426,0.0024185466162014377
Mining & Construction,CPI,148,0.1504560972759393,-0.14583680556474474,0.44674900011662333
Mining & Construction,CPI_lag1,148,0.06727016299481219,-0.23832010412034182,0.3728604301099662
Mining & Construction,CPI_lag2,148,0.17296489417699923,-0.1237476975933895,0.46967748594738795
Mining & Construction,Fuel_Index,148,0.003502397679257255,-0.006975801057432276,0.013980596415946787
Mining & Construction,Fuel_Index_lag1,148,-0.002791405742081983,-0.018697774678806484,0.013114963194642518
Mining & Construction,Fuel_Index_lag2,148,-0.0008770962668103074,-0.012878924622785237,0.011124732089164622
Mining & Construction,GDP_Growth,148,-0.03789464917886581,-0.0779712355440924,0.002181937186360783
Mining & Construction,GDP_Growth_lag1,148,-0.026821743295287838,-0.06051706596269839,0.006873579372122712
Mining & Construction,GDP_Growth_lag2,148,-0.013188198976720385,-0.04322535728740142,0.016848959333960647
Mining & Construction,GPR_Global,148,-0.00010952773075970116,-0.0017668194256560672,0.001547763964136665
Mining & Construction,GPR_Global_lag1,148,-0.0001900256967711335,-0.002046778491260448,0.001666727097718181
Mining & Construction,GPR_Global_lag2,148,0.00022102900376801777,-0.0017396823615308124,0.002181740369066848
Mining & Construction,Interest_Rate,148,0.09682486887550036,-0.12912829626947853,0.3227780340204792
Mining & Construction,Interest_Rate_lag1,148,-0.12814924686073656,-0.5042770894364449,0.24797859571497174
Mining & Construction,Interest_Rate_lag2,148,0.015693520359994856,-0.18414801661815505,0.21553505733814476
Public Administration,Brent_Oil,148,0.021488947436198436,-0.0036851675684892206,0.0466630624408861
Public Administration,Brent_Oil_lag1,148,0.0022426016977495785,-0.028713240151598828,0.033198443547097986
Public Administration,Brent_Oil_lag2,148,-0.017700970299263704,-0.04070119204105233,0.005299251442524924
Public Administration,CPI,148,-0.9973238985034617,-2.2565085331782444,0.2618607361713211
Public Administration,CPI_lag1,148,-0.9311896771950489,-2.2298862209474573,0.3675068665573594
Public Administration,CPI_lag2,148,0.03962987108408457,-1.2213383562672713,1.3005980984354404
Public Administration,Fuel_Index,148,0.0344953650427524,-0.01003485057095925,0.07902558065646405
Public Administration,Fuel_Index_lag1,148,-0.02414864245004825,-0.09174747848886258,0.04345019358876609
Public Administration,Fuel_Index_lag2,148,-0.007862236953111409,-0.058867568869460755,0.043143094963237934
Public Administration,GDP_Growth,148,0.04224637435444898,-0.12807097471970177,0.21256372342859972
Public Administration,GDP_Growth_lag1,148,-0.025760925875136863,-0.16895920081331872,0.11743734906304498
Public Administration,GDP_Growth_lag2,148,-0.041072314060389206,-0.16872413376813455,0.08657950564735613
Public Administration,GPR_Global,148,-0.002329351190092335,-0.009372504155891583,0.004713801775706914
Public Administration,GPR_Global_lag1,148,0.0006359104716885923,-0.007254911639793244,0.008526732583170429
Public Administration,GPR_Global_lag2,148,0.00454291999240575,-0.0037897049221505804,0.012875544906962081
Public Administration,Interest_Rate,148,-0.13365505367354985,-1.0939100951507836,0.826599987803684
Public Administration,Interest_Rate_lag1,148,0.17020108120609323,-1.4282658260467231,1.7686679884589096
Public Administration,Interest_Rate_lag2,148,-0.15186264302498959,-1.0011485702953555,0.6974232842453763
Services,Brent_Oil,148,-0.004550082590257677,-0.008558764518638042,-0.0005414006618773125
Services,Brent_Oil_lag1,148,0.002189386929718741,-0.0027399670426523394,0.007118740902089821
Services,Brent_Oil_lag2,148,-0.004247948439672085,-0.007910463416976375,-0.0005854334623677944
Services,CPI,148,0.041329613675165966,-0.15918073946237665,0.24183996681270858
Services,CPI_lag1,148,-0.07145489536917445,-0.2782570556207225,0.13534726488237364
Services,CPI_lag2,148,0.1020237830402646,-0.09877058626741303,0.30281815234794224
Services,Fuel_Index,148,0.006007656718891492,-0.0010832567278901426,0.013098570165673125
Services,Fuel_Index_lag1,148,0.0019670180504352004,-0.008797302060038708,0.012731338160909109
Services,Fuel_Index_lag2,148,-0.0010921354671704587,-0.009214135079313276,0.007029864144972358
Services,GDP_Growth,148,0.003167041470436721,-0.023953994530076673,0.030288077470950112
