Sector,n_obs,r2,cv_r2,cv_rmse,n_vars,intercept,GDP_Growth,Interest_Rate,Brent_Oil,Fuel_Index,CPI,GPR_Global
Communications,148,0.7147671660627345,-35.18622442401202,0.7348809374413895,6,-3.7481118254760224,-0.060119649433232815,0.13139852902677718,-0.008265015299053607,0.012269217911426348,0.4852173599475754,-0.002499305577896359
"Finance, Insurance & Real Estate",148,0.8558209531782088,-29.594820958781348,0.3686392550378951,6,-3.3209774285914673,-1.3819295431447754e-05,0.07984496726309138,-0.012385821646471538,0.010914967529214578,0.35840136660366334,0.0019247963139621157
"Health, Legal & Educational Services",148,0.5999813269769438,-5.072668350353027,0.42352589386643424,6,-3.8897753589120603,0.004275174656037664,0.014233066972278913,-0.015492898609998277,0.005172924606778218,0.12052009987222266,0.0047467889634799235
Heavy Manufacturing,148,0.3880624379691734,-1.8718057693791539,0.18324246794421356,6,-4.434214709641372,0.01165859788895409,-0.015074667375747076,-0.004129806620652817,0.001908943742001839,-0.020920790318515233,-0.0001865826811045415
Light Manufacturing,148,0.6448197857858995,-7.152414533904826,0.3865613368574999,6,-3.6872825657001447,-0.020567697130225448,0.059128121725841656,-0.01122611400958708,0.014391810527906264,0.23675889079376464,0.0009687953032269217
Mining & Construction,148,0.641636931980021,-13.851264862486937,0.5060456681588441,6,-4.039108673682578,-0.01966421377168089,-0.01426673452937307,-0.01068799037453301,0.0009527565354059878,0.3205426224235327,2.424189565257435e-05
Public Administration,148,0.16158313681958503,-39.45371216869872,1.4630490810141135,6,-5.587337778394293,0.09526130384466425,-0.11728201389723363,0.0010318090084063757,0.005506863919929978,-0.584342069334804,-0.0027395766883756213
Services,148,0.6228542092000245,-0.7088741820448058,0.13211539087910087,6,-3.493741532736285,-0.002490115018396792,-0.008691629544201374,-0.00640124214988211,0.007361452584319735,0.11844288260114132,-0.0005285391697928873
Transportation,148,0.48229219777635646,-3.129668877072571,0.48833659013055997,6,-3.6145887306516564,0.02001676146288466,0.009347738106978719,-0.0032402276012089785,0.017513271867063307,0.017674700114573436,-0.0017714918404242482
Utilities,148,0.7555294703414512,-82.48659567659945,0.5848905234406245,6,-4.048603604851733,-0.027563063916738705,0.06104282955187343,-0.008641202285995356,0.01644107289855885,0.41506714943037754,-0.00239004211991525
Wholesale & Retail Trade,148,0.326086695445713,-8.968362462699194,0.40136056619914023,6,-3.6146771213528597,0.0033464200590612417,0.011520624674133699,-0.006733881328932445,0.004176274642820106,0.02559268527961044,0.0013823009459422379
