Sector,intercept,r2,n_obs,GDP_Growth,Interest_Rate,Brent_Oil,Fuel_Index,CPI,GPR_Global
Communications,-3.752566071718597,0.708350409969448,142,-0.060441340228323516,0.13095100432057857,-0.00809856856804525,0.012210491470861173,0.4956018732153166,-0.0025736968922596207
"Finance, Insurance & Real Estate",-3.324819183264254,0.8808863706373375,142,-0.0009839970210969182,0.07125549382574438,-0.010576330640882536,0.011162487143650125,0.31487724085455765,0.001434064300085535
"Health, Legal & Educational Services",-3.89315777016792,0.5210048177371351,142,0.0036977924841728525,0.00735850710069259,-0.0140303461933626,0.005358178592353503,0.08532499883197908,0.004356126796222498
Heavy Manufacturing,-4.428536754926758,0.37576098685354886,142,0.011580863118847567,-0.01702632768843251,-0.003833134441228939,0.0020827414821340366,-0.04977860792083782,-0.0002323728473651275
Light Manufacturing,-3.6896293094028625,0.6412320562481518,142,-0.02135466480374029,0.04962954417033992,-0.009241958136854318,0.01469853526391883,0.18146854847286903,0.0004391345702189006
Mining & Construction,-4.047870444122935,0.605656631251271,142,-0.020703842505395254,-0.020617132033736746,-0.00924033278297375,0.0010393373249342405,0.30520605325562394,-0.0004153241715180323
Public Administration,-5.577140875206768,0.1399875878136474,142,0.09682274551266522,-0.10638964903413191,-0.0013697803030232672,0.005284763267302789,-0.5434680010159781,-0.0020510582158650634
Services,-3.485378946221144,0.714006733678326,142,-0.0028388087209010155,-0.015427557454048748,-0.0051798031146672325,0.007755606108290739,0.05144458806947384,-0.0007919382049096872
Transportation,-3.615198668525441,0.5066680334641792,142,0.02105573436170431,0.019617210973728448,-0.005353089127038201,0.01713596149762757,0.08842339019714601,-0.001234895642835411
Utilities,-4.0530285666713235,0.7567692657513564,142,-0.027754249741806764,0.0629293266692781,-0.00895504326432239,0.016302962045625473,0.44100038734757063,-0.0023466284808593522
Wholesale & Retail Trade,-3.624081061936716,0.2775445431391401,142,0.0030033605465722914,0.010177179019777367,-0.006256823305530363,0.004055702514509638,0.04051238865616794,0.0011986219029268552
