31580;Neonode Inc
42785;Autoliv Inc
50545;Northland Resources SA
58547;Hemtex AB
58568;Saxlund Group AB
58696;Amhult 2 AB
58697;Storytel AB
58729;RW Capital AB
58750;Tretti AB
58798;Intius AB
58800;Avonova Sverige AB
58834;Mahler International AB
58863;MedClair International AB
58882;Stormfageln AB
58884;Bore Tech AB
58895;AU Holding AB
58899;TracTechnology AB
58900;Exalt AB
58904;Biotech-IgG AB
58907;Swedish Bar Systems Holding AB
58908;Polyplank AB
58925;Guideline Geo AB
59001;Loomis AB
59002;Niscayah Group AB
59028;SBC Sveriges BostadsrattsCentrum AB
59038;VKG Energy Services AB
59180;Opus Group AB
59257;Mobicard Media Group AB
59289;Panaxia AB
59290;Elon AB
59332;Swedol AB
59336;Wiking Mineral AB
59363;Dios Fastigheter AB
59373;Invuo Technologies AB
59383;Insplanet AB
59481;Drillcon AB
59510;Biosensor Applications Sweden AB
59514;Miris Holding AB
59527;Hotel Fast SSE AB
59528;Transferator AB
59554;Level Bio AB
59569;Enlabs AB
59635;BE Group AB
59657;Nederman Holding AB
59666;Relation & Brand AB
59791;RusForest AB
59862;Melker Schorling AB
59871;Cherry AB
60009;ChronTech Pharma AB
60040;G5 Entertainment AB
60082;AIK Fotboll AB
60090;Tribona ASA
60139;NetJobs Group AB
60143;Scandbook AB
60219;Maxpeak AB
60241;Scirocco AB
60248;Nidhogg Resources Holding AB
60357;Intrum AB
60421;Generic Sweden AB
60425;Nordic Camping & Resort AB
60432;Gotenehus Group AB
60487;Modern Ekonomi Sverige Holding AB
60572;Capilon AB
60573;Servana AB
60654;Lindab International AB
60692;Allenex AB
60693;Tilgin AB
61007;European Lifecare Group
61029;Unlimited Travel Group AB
61059;Nordic Mines AB
61101;PV Enterprise Sweden AB
61129;Nimutan AB
61160;Ellen AB
61182;Redland Farming AB
61183;New Nordic Healthbrands AB
61186;Interfox Resources AB
61214;Byggmax Group AB
61332;Petrogrand AB
61416;Atlas Copco AB
61420;Volvo AB
61436;Telefonaktiebolaget LM Ericsson
61437;Electrolux AB
61454;Svenska Cellulosa AB SCA
61458;SKF AB
61459;Sandvik AB
61468;Trelleborg AB
61474;Securitas AB
61477;Investor AB
61482;Gruvaktiebolaget Viscaria
61528;A3 Allmanna IT-och Telekomakti
61591;Wise Group AB
61594;Ogunsen AB
61640;Skanska AB
61642;Skandinaviska Enskilda Banken AB
61653;Svenska Handelsbanken AB
61677;Titana AB
61698;Systemair AB
61785;Lightlab Sweden AB
61813;H & M Hennes & Mauritz AB
61818;Hufvudstaden AB
61824;NetEnt AB
61827;Industrivarden AB
61867;L E Lundbergforetagen AB
61884;Holmen AB
61890;NCC AB
61932;Novus Group International AB
61938;Seco Tools AB
61955;SSAB AB
61962;Online Brands Nordic AB
63626;SeaNet Maritime Communications AB
63633;EasyFill AB
63636;NAXS AB
63670;Endomines AB
63701;Strax AB
63791;Moment Group AB
63800;Axis Communications AB
63803;Biotage AB
63936;Dannemora Mineral AB
64287;Bogio Technologies AB
64309;ICT Norden Fastigheter AB
64346;Diadrom Holding AB
