Sector,n_obs,cv_r2,cv_rmse,n_vars,n_selected,GDP_Growth,LASSO_β_GDP_Growth,β_selected_GDP_Growth,Interest_Rate,LASSO_β_Interest_Rate,β_selected_Interest_Rate,Brent_Oil,LASSO_β_Brent_Oil,β_selected_Brent_Oil,Fuel_Index,LASSO_β_Fuel_Index,β_selected_Fuel_Index,CPI,LASSO_β_CPI,β_selected_CPI,GDP_Growth_lag1,LASSO_β_GDP_Growth_lag1,β_selected_GDP_Growth_lag1,GDP_Growth_lag2,LASSO_β_GDP_Growth_lag2,β_selected_GDP_Growth_lag2,Interest_Rate_lag1,LASSO_β_Interest_Rate_lag1,β_selected_Interest_Rate_lag1,Interest_Rate_lag2,LASSO_β_Interest_Rate_lag2,β_selected_Interest_Rate_lag2,Brent_Oil_lag1,LASSO_β_Brent_Oil_lag1,β_selected_Brent_Oil_lag1,Brent_Oil_lag2,LASSO_β_Brent_Oil_lag2,β_selected_Brent_Oil_lag2,Fuel_Index_lag1,LASSO_β_Fuel_Index_lag1,β_selected_Fuel_Index_lag1,Fuel_Index_lag2,LASSO_β_Fuel_Index_lag2,β_selected_Fuel_Index_lag2,CPI_lag1,LASSO_β_CPI_lag1,β_selected_CPI_lag1,CPI_lag2,LASSO_β_CPI_lag2,β_selected_CPI_lag2,GPR_Global,LASSO_δ_GPR_Global,δ_selected_GPR_Global,GPR_Global_lag1,LASSO_δ_GPR_Global_lag1,δ_selected_GPR_Global_lag1,GPR_Global_lag2,LASSO_δ_GPR_Global_lag2,δ_selected_GPR_Global_lag2
Communications,148,-14.170201604384232,0.5804706106211293,18,12,-0.03488329387640303,-0.03488329387640303,1,0.06562085065826832,0.06562085065826832,1,-0.0,-0.0,0,0.10792826431452593,0.10792826431452593,1,0.02915846519007562,0.02915846519007562,1,-0.00555109079363846,-0.00555109079363846,1,-0.0,-0.0,0,0.07490224260237151,0.07490224260237151,1,0.08366325743864649,0.08366325743864649,1,-0.02805337629772791,-0.02805337629772791,1,-0.08472822226700494,-0.08472822226700494,1,0.030907954084602274,0.030907954084602274,1,0.0,0.0,0,0.023201542145462876,0.023201542145462876,1,0.032057554302091756,0.032057554302091756,1,-0.0,-0.0,0,-0.0,-0.0,0,0.0,0.0,0
"Finance, Insurance & Real Estate",148,-22.014246925868076,0.41405108834954263,18,17,0.002510486545112757,0.002510486545112757,1,0.11739020967116212,0.11739020967116212,1,-0.17625807986830833,-0.17625807986830833,1,0.07194144264208592,0.07194144264208592,1,0.04423216591230975,0.04423216591230975,1,-0.0010053727965811006,-0.0010053727965811006,1,-0.0007511534914362592,-0.0007511534914362592,1,0.0,0.0,0,-0.0010629247038459854,-0.0010629247038459854,1,-0.09648134145718554,-0.09648134145718554,1,-0.05575422767388634,-0.05575422767388634,1,0.07615272110982489,0.07615272110982489,1,0.09732746836246385,0.09732746836246385,1,0.03543008449069964,0.03543008449069964,1,0.024336070389224817,0.024336070389224817,1,0.050673220094777205,0.050673220094777205,1,0.03221757173685413,0.03221757173685413,1,0.012473778474753975,0.012473778474753975,1
"Health, Legal & Educational Services",148,-12.378315679551013,0.5235688496713087,18,9,0.0,0.0,0,0.0,0.0,0,-0.21645491630140407,-0.21645491630140407,1,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,-0.10782051001884688,-0.10782051001884688,1,-0.026499805530376393,-0.026499805530376393,1,0.035938681818394574,0.035938681818394574,1,0.06635331793398419,0.06635331793398419,1,0.0,0.0,0,0.0073347598298547124,0.0073347598298547124,1,0.12499600290935735,0.12499600290935735,1,0.06127948438524703,0.06127948438524703,1,0.022378817914421027,0.022378817914421027,1
Heavy Manufacturing,148,-0.845688787958154,0.1436307578949897,18,3,0.0005326991040681444,0.0005326991040681444,1,-0.0,-0.0,0,-0.05567554411290838,-0.05567554411290838,1,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0033608403205648675,-0.0033608403205648675,1,-0.0,-0.0,0,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0
Light Manufacturing,148,-50.94910538117786,0.6585282732122266,18,16,-0.0046582270247045076,-0.0046582270247045076,1,0.007723518977408339,0.007723518977408339,1,-0.21841646521347538,-0.21841646521347538,1,0.09553805582133111,0.09553805582133111,1,0.03843958467055734,0.03843958467055734,1,-0.0026969623824344246,-0.0026969623824344246,1,-0.0,-0.0,0,0.020823457794096677,0.020823457794096677,1,0.05429340831844017,0.05429340831844017,1,-0.027503751139691186,-0.027503751139691186,1,0.0,0.0,0,0.0860438371144793,0.0860438371144793,1,0.09922458337132327,0.09922458337132327,1,0.03906472992601356,0.03906472992601356,1,0.04243814537989642,0.04243814537989642,1,0.020280270415449404,0.020280270415449404,1,0.02025995844321163,0.02025995844321163,1,0.005425976414884026,0.005425976414884026,1
Mining & Construction,148,-1.9363645592735204,0.26409237250119727,18,3,0.0,0.0,0,0.0,0.0,0,-0.06377897799127971,-0.06377897799127971,1,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,-0.011259645679673743,-0.011259645679673743,1,-0.010436660205011931,-0.010436660205011931,1,-0.0,-0.0,0,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Public Administration,148,-0.6802675227333564,0.7651145668839382,18,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Services,148,-20.72636040430387,0.3012023454096605,18,12,-0.0,-0.0,0,-0.0057664501369977935,-0.0057664501369977935,1,-0.06777441040668909,-0.06777441040668909,1,0.13181598058126134,0.13181598058126134,1,0.0,0.0,0,0.0060482768935021716,0.0060482768935021716,1,0.00047572793381042293,0.00047572793381042293,1,-0.0,-0.0,0,-0.0,-0.0,0,0.0,0.0,0,-0.08015476601069586,-0.08015476601069586,1,0.004702977668256566,0.004702977668256566,1,0.0,0.0,0,-0.002722828924035485,-0.002722828924035485,1,0.023824885020248158,0.023824885020248158,1,-0.011339836864485978,-0.011339836864485978,1,-2.4193167434932252e-05,-2.4193167434932252e-05,1,0.006555449921410844,0.006555449921410844,1
Transportation,148,-3.748505562797733,0.4729555776761273,18,2,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,0.27696745698814346,0.27696745698814346,1,0.0,0.0,0,-0.0,-0.0,0,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,-0.025431332700188287,-0.025431332700188287,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0,0.0,0.0,0
Utilities,148,-46.22654796865448,0.5023213199115381,18,12,-0.0,-0.0,0,0.01832214207593342,0.01832214207593342,1,-0.010401921361491151,-0.010401921361491151,1,0.12018010857609203,0.12018010857609203,1,0.026393094635592015,0.026393094635592015,1,-0.0,-0.0,0,-0.0,-0.0,0,0.036397025592623734,0.036397025592623734,1,0.05471695382102269,0.05471695382102269,1,-0.036930063801870514,-0.036930063801870514,1,-0.061085062740355925,-0.061085062740355925,1,0.06619583356604847,0.06619583356604847,1,0.02482607369248503,0.02482607369248503,1,0.025052581829624238,0.025052581829624238,1,0.021309508806091934,0.021309508806091934,1,-0.0,-0.0,0,-0.0,-0.0,0,-0.0,-0.0,0
