;Consumer Price Index (KPI)
1980-01;28,38
1980-02;28,81
1980-03;28,96
1980-04;29,15
1980-05;29,25
1980-06;29,32
1980-07;29,57
1980-08;29,74
1980-09;30,58
1980-10;31,02
1980-11;31,21
1980-12;31,34
1981-01;31,92
1981-02;32,53
1981-03;32,71
1981-04;32,90
1981-05;33,10
1981-06;33,22
1981-07;33,53
1981-08;33,78
1981-09;34,02
1981-10;34,25
1981-11;34,38
1981-12;34,20
1982-01;34,95
1982-02;35,45
1982-03;35,54
1982-04;35,77
1982-05;35,93
1982-06;36,05
1982-07;36,30
1982-08;36,39
1982-09;36,59
1982-10;37,10
1982-11;37,39
1982-12;37,50
1983-01;38,33
1983-02;38,34
1983-03;38,48
1983-04;38,79
1983-05;39,03
1983-06;39,24
1983-07;39,56
1983-08;39,76
1983-09;40,05
1983-10;40,38
1983-11;40,62
1983-12;40,95
1984-01;41,52
1984-02;41,35
1984-03;41,94
1984-04;42,21
1984-05;42,51
1984-06;42,41
1984-07;42,52
1984-08;42,84
1984-09;43,12
1984-10;43,32
1984-11;43,59
1984-12;44,29
1985-01;44,55
1985-02;44,95
1985-03;45,29
1985-04;45,47
1985-05;45,99
1985-06;45,84
1985-07;45,80
1985-08;45,79
1985-09;45,99
1985-10;46,28
1985-11;46,59
1985-12;46,78
1986-01;47,31
1986-02;47,34
1986-03;47,26
1986-04;47,55
1986-05;47,55
1986-06;47,55
1986-07;47,66
1986-08;47,60
1986-09;48,03
1986-10;48,21
1986-11;48,22
1986-12;48,34
1987-01;48,78
1987-02;48,93
1987-03;49,03
1987-04;49,16
1987-05;49,20
1987-06;49,11
1987-07;49,70
1987-08;49,95
1987-09;50,42
1987-10;50,65
1987-11;50,81
1987-12;50,81
1988-01;51,09
1988-02;51,47
1988-03;51,70
1988-04;52,16
1988-05;52,35
1988-06;52,47
1988-07;52,73
1988-08;52,83
1988-09;53,24
1988-10;53,65
1988-11;53,74
1988-12;53,85
1989-01;54,48
1989-02;54,78
1989-03;55,01
1989-04;55,51
1989-05;55,75
1989-06;55,94
1989-07;55,96
1989-08;56,18
1989-09;56,63
1989-10;57,12
1989-11;57,21
1989-12;57,42
1990-01;59,05
1990-02;59,25
1990-03;60,88
1990-04;61,10
1990-05;61,45
1990-06;61,41
1990-07;61,99
1990-08;62,42
1990-09;63,13
1990-10;63,54
1990-11;63,75
1990-12;63,67
1991-01;65,19
1991-02;67,00
1991-03;67,24
1991-04;67,61
1991-05;67,68
1991-06;67,59
1991-07;67,60
1991-08;67,51
1991-09;68,24
1991-10;68,50
1991-11;68,81
1991-12;68,72
1992-01;68,60
1992-02;68,62
1992-03;68,95
1992-04;69,10
1992-05;69,16
1992-06;68,98
1992-07;68,88
1992-08;68,93
1992-09;69,93
1992-10;70,07
1992-11;69,73
1992-12;69,99
1993-01;71,88
1993-02;72,09
1993-03;72,40
1993-04;72,70
1993-05;72,53
1993-06;72,29
1993-07;72,15
1993-08;72,22
1993-09;72,87
1993-10;73,09
1993-11;73,11
1993-12;72,84
1994-01;73,06
1994-02;73,29
1994-03;73,56
1994-04;73,86
1994-05;74,02
1994-06;74,04
1994-07;74,06
1994-08;74,07
1994-09;74,75
1994-10;74,82
1994-11;74,77
1994-12;74,64
1995-01;74,92
1995-02;75,19
1995-03;75,48
1995-04;75,98
1995-05;76,06
1995-06;75,98
1995-07;75,90
1995-08;75,81
1995-09;76,32
1995-10;76,48
1995-11;76,46
1995-12;76,21
1996-01;76,10
1996-02;76,19
1996-03;76,54
1996-04;76,75
1996-05;76,67
1996-06;76,39
1996-07;76,22
1996-08;75,87
1996-09;76,30
1996-10;76,34
1996-11;76,19
1996-12;76,07
1997-01;76,06
1997-02;76,02
1997-03;76,33
1997-04;76,72
1997-05;76,72
1997-06;76,82
1997-07;76,68
1997-08;76,73
1997-09;77,44
1997-10;77,49
1997-11;77,36
1997-12;77,32
1998-01;76,59
1998-02;76,48
1998-03;76,60
1998-04;76,82
1998-05;76,95
1998-06;76,79
1998-07;76,62
1998-08;76,23
1998-09;76,54
1998-10;76,70
1998-11;76,51
1998-12;76,38
1999-01;76,41
1999-02;76,41
1999-03;76,70
1999-04;76,87
1999-05;77,01
1999-06;77,13
1999-07;76,79
1999-08;76,79
1999-09;77,33
1999-10;77,42
1999-11;77,21
1999-12;77,39
2000-01;76,75
2000-02;77,12
2000-03;77,49
2000-04;77,42
2000-05;77,79
2000-06;77,77
2000-07;77,40
2000-08;77,45
2000-09;78,01
2000-10;78,17
2000-11;78,22
2000-12;78,14
2001-01;77,91
2001-02;78,19
2001-03;78,77
2001-04;79,46
2001-05;80,00
2001-06;79,88
2001-07;79,47
2001-08;79,66
2001-09;80,34
2001-10;80,12
2001-11;80,15
2001-12;80,22
2002-01;80,02
2002-02;80,22
2002-03;80,90
2002-04;81,26
2002-05;81,46
2002-06;81,34
2002-07;81,06
2002-08;81,10
2002-09;81,72
2002-10;81,99
2002-11;81,79
2002-12;81,89
2003-01;82,15
2003-02;82,88
2003-03;83,30
2003-04;83,01
2003-05;82,91
2003-06;82,68
2003-07;82,39
2003-08;82,37
2003-09;82,97
2003-10;83,02
2003-11;82,85
2003-12;82,93
2004-01;82,75
2004-02;82,55
2004-03;83,17
2004-04;83,18
2004-05;83,39
