date;World;Asia;Americas;Europe
2011-01;80.843;79.189;84.751;85.512
2011-02;81.25;79.557;85.168;85.956
2011-03;81.726;79.71;85.901;86.571
2011-04;82.164;80.058;86.387;87.002
2011-05;82.473;80.368;86.695;87.228
2011-06;82.624;80.664;86.608;87.272
2011-07;82.912;81.186;86.752;87.191
2011-08;83.231;81.572;86.984;87.307
2011-09;83.594;82.027;87.175;87.584
2011-10;83.842;82.354;87.17;87.884
2011-11;83.998;82.436;87.272;88.121
2011-12;84.137;82.565;87.242;88.343
2012-01;84.557;83.262;87.649;88.214
2012-02;84.876;83.443;88.01;88.625
2012-03;85.344;83.782;88.515;89.157
2012-04;85.666;84.111;88.77;89.451
2012-05;85.718;84.187;88.712;89.51
2012-06;85.707;84.149;88.618;89.539
2012-07;85.904;84.451;88.613;89.68
2012-08;86.373;85.058;89.03;89.951
2012-09;86.778;85.499;89.428;90.256
2012-10;87.05;85.84;89.529;90.52
2012-11;87.072;86.015;89.344;90.52
2012-12;87.283;86.392;89.269;90.734
2013-01;87.602;87.111;89.682;90.487
2013-02;88.16;87.739;90.334;90.819
2013-03;88.311;87.612;90.622;91.213
2013-04;88.484;87.927;90.612;91.275
2013-05;88.563;87.895;90.745;91.47
2013-06;88.847;88.357;90.911;91.564
2013-07;89.157;88.917;90.962;91.665
2013-08;89.449;89.426;91.098;91.757
2013-09;89.779;89.987;91.269;91.837
2013-10;89.968;90.367;91.197;91.907
2013-11;90.101;90.612;91.209;91.957
2013-12;90.224;90.614;91.358;92.24
2014-01;90.518;91.078;91.822;91.984
2014-02;90.834;91.338;92.207;92.298
2014-03;91.135;91.374;92.777;92.724
2014-04;91.468;91.731;93.076;93.035
2014-05;91.69;91.955;93.357;93.209
2014-06;91.862;92.084;93.523;93.385
2014-07;92.124;92.574;93.544;93.37
2014-08;92.299;92.9;93.509;93.468
2014-09;92.522;93.188;93.674;93.63
2014-10;92.648;93.316;93.637;93.806
2014-11;92.583;93.279;93.405;93.9
2014-12;92.678;93.471;93.137;94.234
2015-01;92.803;93.607;93.184;94.341
2015-02;93.314;94.039;93.665;95.055
2015-03;93.686;94.041;94.268;95.791
2015-04;93.99;94.238;94.471;96.385
2015-05;94.25;94.403;94.862;96.647
2015-06;94.408;94.602;95.088;96.657
2015-07;94.597;94.939;95.207;96.61
2015-08;94.781;95.334;95.182;96.65
2015-09;94.939;95.534;95.292;96.679
2015-10;95.067;95.638;95.317;96.861
2015-11;95.115;95.751;95.362;96.831
2015-12;95.24;96.001;95.285;96.943
2016-01;95.473;96.342;95.818;96.618
2016-02;95.857;96.914;96.034;96.805
2016-03;96.072;96.77;96.426;97.304
2016-04;96.37;96.968;96.805;97.576
2016-05;96.626;97.029;97.141;97.888
2016-06;96.849;97.237;97.313;98.058
2016-07;97.039;97.565;97.304;98.072
