date;GDP_Growth
2012-01;95.266073
2012-02;95.453594
2012-03;95.641116
2012-04;95.828638
2012-05;95.974193
2012-06;96.119748
2012-07;96.265303
2012-08;96.400558
2012-09;96.535813
2012-10;96.671068
2012-11;96.792492
2012-12;96.913917
2013-01;97.035342
2013-02;97.122953
2013-03;97.210565
2013-04;97.298176
2013-05;97.436754
2013-06;97.575331
2013-07;97.713908
2013-08;97.875564
2013-09;98.037219
2013-10;98.198875
2013-11;98.371364
2013-12;98.543853
2014-01;98.716343
2014-02;98.849106
2014-03;98.981870
2014-04;99.114633
2014-05;99.232187
2014-06;99.349741
2014-07;99.467295
2014-08;99.460488
2014-09;99.453682
2014-10;99.446876
2014-11;99.497877
2014-12;99.548879
2015-01;99.599881
2015-02;99.727265
2015-03;99.854648
2015-04;99.982032
2015-05;100.065223
2015-06;100.148414
2015-07;100.231606
2015-08;100.214156
2015-09;100.196706
2015-10;100.179257
2015-11;100.204662
2015-12;100.230067
2016-01;100.255473
2016-02;100.420985
2016-03;100.586498
2016-04;100.752011
2016-05;100.805878
2016-06;100.859745
2016-07;100.913612
2016-08;101.099007
2016-09;101.284402
2016-10;101.469797
2016-11;101.679676
2016-12;101.889554
2017-01;102.099433
2017-02;102.119820
2017-03;102.140207
2017-04;102.160593
2017-05;102.355107
2017-06;102.549621
2017-07;102.744134
2017-08;102.935811
2017-09;103.127487
2017-10;103.319164
2017-11;103.570375
2017-12;103.821586
2018-01;104.072797
2018-02;104.323161
2018-03;104.573525
2018-04;104.823889
2018-05;105.139647
2018-06;105.455405
2018-07;105.771163
2018-08;106.028858
2018-09;106.286552
2018-10;106.544247
2018-11;106.688474
2018-12;106.832701
2019-01;106.976927
2019-02;107.340478
2019-03;107.704028
2019-04;108.067578
2019-05;108.290237
2019-06;108.512895
2019-07;108.735554
2019-08;109.054327
2019-09;109.373099
2019-10;109.691872
2019-11;109.917702
2019-12;110.143532
2020-01;110.369362
2020-02;110.370894
2020-03;110.372427
2020-04;110.373959
2020-05;110.624412
2020-06;110.874865
2020-07;111.125318
2020-08;111.621162
2020-09;112.117006
2020-10;112.612850
2020-11;113.227013
2020-12;113.841176
2021-01;114.455338
2021-02;114.782889
2021-03;115.110439
2021-04;115.437990
2021-05;116.026279
2021-06;116.614569
2021-07;117.202859
2021-08;118.021102
2021-09;118.839344
2021-10;119.657586
2021-11;120.446527
2021-12;121.235468
2022-01;122.024410
2022-02;122.940847
2022-03;123.857284
2022-04;124.773722
2022-05;125.096480
2022-06;125.419239
2022-07;125.741997
2022-08;126.136015
2022-09;126.530032
2022-10;126.924049
2022-11;127.329787
2022-12;127.735524
2023-01;128.141262
2023-02;128.314510
2023-03;128.487758
2023-04;128.661006
2023-05;129.097594
2023-06;129.534183
2023-07;129.970771
2023-08;130.233418
2023-09;130.496064
2023-10;130.758711
2023-11;131.093035
2023-12;131.427359
2024-01;131.761683
2024-02;131.939732
2024-03;132.117782
2024-04;132.295831
2024-05;132.403433
2024-06;132.511035
2024-07;132.618636
2024-08;132.898475
2024-09;133.178314
2024-10;133.458152
2024-11;133.832981
2024-12;134.207810
2025-01;134.582639
2025-02;134.982019
2025-03;135.381400
2025-04;135.780781
2025-05;136.010809
2025-06;136.240837
2025-07;136.470866
