date;World;Advanced Economies;G7;Asia;Europe;Africa;Americas;G20;Oceania;Emerging Market and Developing Economies
2012-Q1;95.26607275;95.60286293;95.27466248;95.16466899;95.39402937;95.56633928;95.22487994;95.25450424;95.69195277;94.97292581
2012-Q2;95.82863788;95.60709464;95.49221406;95.91628716;95.75746051;96.34656635;95.63147629;95.79530442;96.30349878;96.01969468
2012-Q3;96.26530344;95.97166157;95.9629363;96.27701548;96.2572144;96.51512654;96.22299941;96.21596099;95.83432303;96.51566267
2012-Q4;96.67106757;96.34859069;96.39445978;96.77219918;96.61414673;96.56641894;96.63176068;96.60381555;95.66392557;96.94320954
2013-Q1;97.03534203;96.92915434;96.88224063;96.95201933;97.0857145;97.38389166;97.08623015;97.02422611;96.22651172;97.1243112
2013-Q2;97.29817619;97.21107548;97.13844591;97.21491145;97.37508706;97.53527441;97.32351198;97.26522523;97.0616947;97.37056335
2013-Q3;97.71390842;97.67761524;97.59431351;97.76882094;97.72934874;97.66024133;97.62597677;97.67188495;97.65943301;97.74388732
2013-Q4;98.19887479;98.03251543;97.97515098;98.35109396;98.12699494;98.12385127;98.0026363;98.1535247;98.8759874;98.33550388
2014-Q1;98.71634265;98.50195414;98.41119318;98.72168751;98.72976056;99.1947676;98.57674445;98.68469318;99.12558539;98.89060373
2014-Q2;99.11463313;99.10831767;99.05666271;99.13119561;99.10354394;98.95395432;99.13800818;99.09120514;98.96256537;99.1197485
2014-Q3;99.46729496;99.35585514;99.38042888;99.51297228;99.46996101;99.41779758;99.42752946;99.4449117;98.86788994;99.55730967
2014-Q4;99.44687556;99.554674;99.48854967;99.3987281;99.5698307;99.11046899;99.48812587;99.4233976;99.48963526;99.36029738
2015-Q1;99.59988129;99.69447793;99.57018041;99.65917058;99.71411539;99.47677986;99.41943558;99.58403349;99.7689306;99.52413038
2015-Q2;99.98203175;99.98828133;99.97494662;100.093256;99.78359577;100.4656395;99.86737027;100.026173;99.94959057;99.97705836
2015-Q3;100.2316055;100.1357307;100.2116302;100.1963203;100.123632;100.0379338;100.4222284;100.2535142;100.3530676;100.3075525
2015-Q4;100.1792569;100.1786327;100.2392852;100.0435596;100.3740759;100.020684;100.2871464;100.129134;99.92557111;100.1797482
2016-Q1;100.2554726;100.400309;100.3638903;100.1656559;100.4080339;100.7800602;100.1854143;100.2602251;99.80667918;100.1421531
2016-Q2;100.7520112;100.6991804;100.7631758;100.8310183;100.6076397;101.1910352;100.6753797;100.779253;100.1121136;100.7930216
2016-Q3;100.9136119;101.0967768;101.0788475;100.7955163;101.1071764;100.8913591;100.9490036;100.898883;101.0802012;100.7718535
2016-Q4;101.4697966;101.5188495;101.5772153;101.5669664;101.4726238;100.4040655;101.4704877;101.512369;102.6045003;101.432136
2017-Q1;102.0994334;101.9809666;102.0879764;102.2953104;101.9444005;101.3283544;101.9938994;102.1711484;103.3458873;102.1901911
2017-Q2;102.1605931;102.4586919;102.4447428;102.0456818;102.4544278;101.765499;102.1876215;102.1873552;102.3092886;101.934056
2017-Q3;102.7441344;102.9328396;102.9459606;102.764237;102.7725959;102.9489;102.6518224;102.8005616;102.4252878;102.6013546
2017-Q4;103.3191637;103.4846589;103.520513;103.1927091;103.4790119;103.5877122;103.3799273;103.3171226;102.700678;103.1945477
2018-Q1;104.0727971;103.9523171;104.0389432;104.1007715;104.1150066;103.1415052;104.2079649;104.0987849;103.640236;104.1626202
2018-Q2;104.8238892;104.5895282;104.6534085;104.6706534;105.0210301;104.509153;105.0255888;104.8168268;104.3698285;104.9982397
2018-Q3;105.7711627;105.2771093;105.2967072;105.7335366;106.3432045;105.293388;105.4469551;105.720458;105.6074847;106.1365105
2018-Q4;106.5442473;105.9825647;106.0016109;106.1676843;108.0959873;105.9288874;106.0114553;106.4332002;106.4611158;106.9589287
2019-Q1;106.9769273;107.0681908;106.822572;105.9824237;109.993864;106.2426869;106.3035635;106.7755395;107.5273046;106.9098107
2019-Q2;108.0675783;107.8287203;107.7163481;107.0835462;111.5566045;108.0502752;106.7934521;107.8532637;109.0271481;108.2420199
2019-Q3;108.735554;108.6241055;108.4731321;107.4525952;112.8508449;109.42889;107.3098561;108.5001381;110.2266224;108.8166177
2019-Q4;109.6918716;109.3455053;109.350279;108.6239128;113.9179542;110.6197675;107.7603826;109.3873589;110.0738003;109.9412663
2020-Q1;110.3693617;110.0291271;110.1382161;108.9108106;114.7862157;112.3019995;108.8422518;110.0928556;111.4694982;110.6092976
