Major Group,Sector Name,N_PD_observations
61,Credit Institutions,4609
49,Electric Gas & Sanitary Services,4245
48,Communications,3926
37,Transportation Equipment,3349
67,Holding & Investment Offices,2658
28,Chemicals & Allied Products,1857
65,Real Estate,1722
73,Business Services,1639
20,Food & Kindred Products,1396
13,Oil & Gas Extraction,1009
45,Air Transportation,517
10,Metal Mining,487
87,Engineering & Management Services,476
36,Electronic & Electrical Equipment,473
38,Instruments & Related Products,445
29,Petroleum & Coal Products,421
32,Stone & Glass Products,392
53,General Merchandise Stores,378
15,Residential Construction,346
35,Industrial Machinery & Equipment,341
16,Heavy & Civil Engineering Construction,323
58,Eating & Drinking Places,301
51,Nondurable Goods Wholesale,297
47,Transportation Services,290
59,Miscellaneous Retail,284
33,Primary Metal Industries,273
80,Health Services,238
99,Nonclassifiable Establishments,228
50,Durable Goods Wholesale,223
60,Banking,208
55,Auto Dealers & Gas Stations,202
27,Printing & Publishing,168
70,Hotels & Lodging,167
79,Amusement & Recreation Services,165
12,Coal Mining,163
26,Paper & Allied Products,147
54,Food Stores,115
44,Water Transportation,113
52,Building Materials & Garden Supplies Retail,113
40,Railroad Transportation,103
21,Tobacco Products,97
34,Fabricated Metal Products,84
76,Electronics & Equipment Repair,74
62,Security & Commodity Brokers,67
23,Apparel & Textile Products,63
72,Personal Services,47
42,Trucking & Warehousing,47
30,Rubber & Plastics Products,47
46,Pipelines,46
78,Motion Picture & Entertainment,44
14,Nonmetallic Minerals Mining,32
17,Special Trade Contractors,31
91,Executive & Legislative Government,31
75,Auto Repair & Services,31
64,Insurance Agents & Services,29
22,Textile Mill Products,27
39,Miscellaneous Manufacturing,24
57,Home Furniture & Furnishings Stores,24
41,Local & Suburban Transit,17
25,Furniture & Fixtures,17
24,Lumber & Wood Products,14
56,Apparel & Accessory Stores,12
19,,7
63,Insurance Carriers,6
31,Leather & Leather Products,5
82,Educational Services,4
93,Public Finance & Taxation,3
89,Miscellaneous Services,2
