Division,Major Group,Sector Name
A,01,Crops
A,02,Livestock
A,07,Agricultural Services
A,08,Forestry
A,09,Fishing & Trapping
B,10,Metal Mining
B,12,Coal Mining
B,13,Oil & Gas Extraction
B,14,Nonmetallic Minerals Mining
C,15,Residential Construction
C,16,Heavy & Civil Engineering Construction
C,17,Special Trade Contractors
D,20,Food & Kindred Products
D,21,Tobacco Products
D,22,Textile Mill Products
D,23,Apparel & Textile Products
D,24,Lumber & Wood Products
D,25,Furniture & Fixtures
D,26,Paper & Allied Products
D,27,Printing & Publishing
D,28,Chemicals & Allied Products
D,29,Petroleum & Coal Products
D,30,Rubber & Plastics Products
D,31,Leather & Leather Products
D,32,Stone & Glass Products
D,33,Primary Metal Industries
D,34,Fabricated Metal Products
D,35,Industrial Machinery & Equipment
D,36,Electronic & Electrical Equipment
D,37,Transportation Equipment
D,38,Instruments & Related Products
D,39,Miscellaneous Manufacturing
E,40,Railroad Transportation
E,41,Local & Suburban Transit
E,42,Trucking & Warehousing
E,43,Postal Service
E,44,Water Transportation
E,45,Air Transportation
E,46,Pipelines
E,47,Transportation Services
E,48,Communications
E,49,Electric Gas & Sanitary Services
F,50,Durable Goods Wholesale
F,51,Nondurable Goods Wholesale
G,52,Building Materials & Garden Supplies Retail
G,53,General Merchandise Stores
G,54,Food Stores
G,55,Auto Dealers & Gas Stations
G,56,Apparel & Accessory Stores
G,57,Home Furniture & Furnishings Stores
G,58,Eating & Drinking Places
G,59,Miscellaneous Retail
H,60,Banking
H,61,Credit Institutions
H,62,Security & Commodity Brokers
H,63,Insurance Carriers
H,64,Insurance Agents & Services
H,65,Real Estate
H,67,Holding & Investment Offices
I,70,Hotels & Lodging
I,72,Personal Services
I,73,Business Services
I,75,Auto Repair & Services
I,76,Electronics & Equipment Repair
I,78,Motion Picture & Entertainment
I,79,Amusement & Recreation Services
I,80,Health Services
I,81,Legal Services
I,82,Educational Services
I,83,Social Services
I,84,Museums & Cultural Institutions
I,86,Membership Organizations
I,87,Engineering & Management Services
I,88,Private Households
I,89,Miscellaneous Services
J,91,Executive & Legislative Government
J,92,Courts & Judicial Administration
J,93,Public Finance & Taxation
J,94,Human Resource Program Administration
J,95,Environmental & Housing Administration
J,96,Economic Program Administration
J,97,National Security & Military
J,99,Nonclassifiable Establishments
