issuer_identifier;issuer_name;Sector
80091583;Merey Sweeny, L.P.;Transportation & Logistics
80091774;Express Pipeline LLC/Express Pipeline LP;Energy & Resources
80095907;Sprint Communications LLC;Telecommunications & Media
80095915;Sears Roebuck Acceptance Corp.;Financial Services
80095922;NorthWestern Corporation;Energy & Resources
80095924;Occidental Petroleum Corp.;Energy & Resources
80095932;Loews Corporation;Financial Services
80095935;Johnson Controls, Inc.;Industrial & Manufacturing
80095936;Johnson (S.C.) & Son, Inc.;Industrial & Manufacturing
80095938;Ford Motor Company;Industrial & Manufacturing
80095966;Commercial Metals Company;Industrial & Manufacturing
80095967;Dover Corporation;Industrial & Manufacturing
80095972;Honeywell International Inc.;Industrial & Manufacturing
80095974;American Stores Company, LLC;Consumer Goods & Retail
80096001;Deere & Company;Industrial & Manufacturing
80096007;Coca-Cola Refreshments USA, Inc and Coca-Cola Refreshments Canada, Ltd.;Consumer Goods & Retail
80096019;Warner Media, LLC;Telecommunications & Media
80096020;Time Warner Cable Enterprises LLC;Telecommunications & Media
80096052;Perspecta Enterprise Solutions LLC;Professional Services & Consulting
80096053;Sprint Capital Corp.;Financial Services
80096054;ITT Corporation;Industrial & Manufacturing
80096057;Cox Enterprises, Inc.;Telecommunications & Media
80096058;International Business Machines Corporation;Technology & Software
80096066;Methanex Corp.;Energy & Resources
80096084;Paramount Global;Telecommunications & Media
80096093;Comcast Cable Holdings, LLC (formerly AT&T Broadband LLC);Telecommunications & Media
80096094;Enviri Corporation;Industrial & Manufacturing
80096096;Xerox Corporation;Technology & Software
80096102;Mattel, Inc.;Consumer Goods & Retail
80096103;Macy's, Inc.;Consumer Goods & Retail
80096113;CF Industries, Inc.;Energy & Resources
80096116;Cox Communications, Inc.;Telecommunications & Media
80096117;Hubbell Incorporated;Industrial & Manufacturing
80096128;First Data Corp.;Financial Services
80096135;Lockheed Martin Corporation;Industrial & Manufacturing
80096151;CITGO Petroleum Corp.;Energy & Resources
80096158;Kroger Co. (The);Consumer Goods & Retail
80096173;Ingram Micro Inc.;Technology & Software
80096199;HCA Inc.;Healthcare & Pharmaceuticals
80096200;Tenet Healthcare Corporation;Healthcare & Pharmaceuticals
80096222;KN Capital Trust I;Real Estate & Property
80096234;Belo Corp.;Telecommunications & Media
80096237;Martin Marietta Materials, Inc.;Industrial & Manufacturing
80096255;Spectra Energy Capital, LLC;Energy & Resources
80096268;Tenneco LLC;Industrial & Manufacturing
80096272;Levi Strauss & Co.;Consumer Goods & Retail
80096297;Petroleos de Venezuela S.A. (PDVSA);Energy & Resources
80096325;Allergan Finance LLC;Healthcare & Pharmaceuticals
80096332;KN Capital Trust III;Real Estate & Property
80096391;YPF S.A.;Energy & Resources
80096393;Northumbrian Services Limited;Real Estate & Property
80096394;Starwood Hotels & Resorts Worldwide, LLC;Unassigned
80096415;CBS Broadcasting, Inc.;Telecommunications & Media
80096416;New Albertsons L.P.;Consumer Goods & Retail
80096426;Eaton Corporation;Industrial & Manufacturing
80096432;AT&T Corp.;Telecommunications & Media
80096441;Crown Castle Inc.;Telecommunications & Media
80096454;SEGRO PLC;Real Estate & Property
80096470;BP plc;Energy & Resources
80096471;Royal Dutch/Shell Group;Energy & Resources
80096496;Kimberly Clark de Mexico, S.A.B. de C.V.;Consumer Goods & Retail
80096517;Alberto-Culver Co.;Consumer Goods & Retail
80096522;Petroleos Mexicanos (PEMEX);Energy & Resources
80096525;Weyerhaeuser Co.;Industrial & Manufacturing
80096536;Centex Corp.;Industrial & Manufacturing
80096540;Dean Foods Company;Consumer Goods & Retail
80096543;Rio Tinto Alcan Inc.;Energy & Resources
80096555;Bellsouth Telecommunications, LLC;Telecommunications & Media
80096570;Fluor Corporation;Industrial & Manufacturing
80096642;Revvity, Inc.;Technology & Software
80096653;Verizon New England Inc.;Telecommunications & Media
80096654;Parker-Hannifin Corp.;Industrial & Manufacturing
80096667;Best Buy Co., Inc.;Consumer Goods & Retail
80096668;Universal Health Services, Inc.;Healthcare & Pharmaceuticals
80096669;Hasbro, Inc.;Consumer Goods & Retail
80096673;Anixter International Inc.;Industrial & Manufacturing
80096674;Valero Energy Corporation;Industrial & Manufacturing
80096675;Anadarko Petroleum Corporation;Energy & Resources
80096676;Apache Corporation;Energy & Resources
80096679;Toys 'R' Us, Inc.;Consumer Goods & Retail
80096681;Whirlpool Corp.;Consumer Goods & Retail
80096682;Conagra Brands, Inc.;Consumer Goods & Retail
80096689;S&P Global Inc.;Financial Services
80096690;Republic Services, Inc.;Industrial & Manufacturing
80096692;Owens Corning;Industrial & Manufacturing
80096700;Altria Group, Inc.;Consumer Goods & Retail
80096702;Philip Morris Capital Corp.;Financial Services
80096704;Verizon Global Funding;Financial Services
80096708;Verizon New Jersey Inc.;Telecommunications & Media
80096709;Verizon Pennsylvania LLC;Telecommunications & Media
80096710;Verizon Delaware LLC;Telecommunications & Media
80096711;Verizon Maryland LLC;Telecommunications & Media
80096712;Verizon Virginia LLC;Telecommunications & Media
80096713;Frontier West Virginia Inc.;Telecommunications & Media
80096715;Verizon New York Inc.;Telecommunications & Media
80096716;Frontier California, Inc.;Telecommunications & Media
80096717;Frontier Florida LLC;Telecommunications & Media
80096719;Frontier North Inc.;Telecommunications & Media
80096723;Frontier Southwest Inc.;Telecommunications & Media
80096724;GTE LLC;Telecommunications & Media
80096726;Qwest Communications International Inc.;Telecommunications & Media
80096729;Cardinal Health, Inc.;Healthcare & Pharmaceuticals
80096738;Frontier Communications Corporation;Telecommunications & Media
80096742;PSP Swiss Property AG;Real Estate & Property
80096748;Kimberly-Clark Corp.;Consumer Goods & Retail
80096752;LOCAP LLC;Professional Services & Consulting
80096758;Computer Sciences Corp.;Technology & Software
80096768;Qwest Capital Funding, Inc.;Financial Services
80096781;Southern Company Gas Capital Corporation;Energy & Resources
80096783;Meritor, Inc.;Industrial & Manufacturing
80096786;International Rectifier Corp.;Industrial & Manufacturing
80096792;Cemex Espana SA;Industrial & Manufacturing
80096796;AT&T Mobility LLC;Telecommunications & Media
80096797;Aetna Inc.;Healthcare & Pharmaceuticals
80096799;Embarq Florida, Inc.;Telecommunications & Media
80096852;PulteGroup, Inc.;Real Estate & Property
80096870;Telefonos de Mexico S.A.B. de C.V.;Telecommunications & Media
80096871;Bio-PAPPEL, S.A.B. de C.V.;Consumer Goods & Retail
80096872;Southwestern Bell Telephone Company;Telecommunications & Media
80096874;Vale S.A.;Energy & Resources
80096876;Bombardier Inc.;Industrial & Manufacturing
80096882;PLDT Inc.;Telecommunications & Media
80096883;Southern Copper Corporation (SCC);Energy & Resources
80096892;Transelec S.A.;Energy & Resources
80096913;Liberty Interactive LLC;Consumer Goods & Retail
80096915;Johnson Controls International PLC;Industrial & Manufacturing
80096917;Tyco International Finance S.A.;Financial Services
80096918;Big Heart Pet Brands;Consumer Goods & Retail
80096925;Grupo Televisa S.A.B.;Telecommunications & Media
80096931;Rockwell Collins, Inc.;Technology & Software
80096941;Interpublic Group of Companies, Inc.;Professional Services & Consulting
80096942;Qwest Corporation;Telecommunications & Media
80096943;Expand Energy Corporation;Energy & Resources
80096945;Walmart, Inc.;Consumer Goods & Retail
80096948;Univision Communications, Inc.;Telecommunications & Media
80096949;United States Steel Corporation;Industrial & Manufacturing
80096963;The Hillshire Brands Company;Consumer Goods & Retail
80096966;Bunge Global SA;Consumer Goods & Retail
80096970;Cencora, Inc.;Healthcare & Pharmaceuticals
80096977;BellSouth, LLC;Telecommunications & Media
80096992;Transocean, Inc.;Energy & Resources
80097008;UST LLC;Professional Services & Consulting
80097011;Cellco Partnership;Telecommunications & Media
80097028;Marathon Oil Corporation;Energy & Resources
80097053;The Gap, Inc.;Consumer Goods & Retail
80097059;Oi S.A.;Telecommunications & Media
80097095;Cummins Inc.;Industrial & Manufacturing
80097099;Marsh & McLennan Companies, Inc.;Professional Services & Consulting
80097103;Brinker International, Inc.;Consumer Goods & Retail
80097112;Home Depot, Inc. (The);Consumer Goods & Retail
80097121;HP Inc.;Technology & Software
80097124;The Boeing Company;Industrial & Manufacturing
80097128;Ingredion Incorporated;Consumer Goods & Retail
80097149;Indiana Bell Telephone Company, LLC;Telecommunications & Media
80097150;Michigan Bell Telephone Company;Telecommunications & Media
80097152;Wisconsin Bell, LLC;Telecommunications & Media
80097153;Ameritech Capital Funding Corp.;Financial Services
80097154;Advanced Micro Devices, Inc.;Technology & Software
80097155;Aon Corporation;Telecommunications & Media
80097157;Alltel Corporation;Unassigned
80097158;Avon Products, Inc.;Consumer Goods & Retail
80097162;Baxter International Inc.;Healthcare & Pharmaceuticals
80097164;Black & Decker Corporation (The);Consumer Goods & Retail
80097166;Browning Ferris Industries, LLC;Industrial & Manufacturing
80097173;Caterpillar Inc.;Industrial & Manufacturing
80097178;Clorox Company (The);Consumer Goods & Retail
80097179;Comcast Corp.;Telecommunications & Media
80097181;Cincinnati Bell, Inc.;Telecommunications & Media
80097182;Cincinnati Bell Telephone Company LLC;Telecommunications & Media
80097183;United Airlines, Inc.;Transportation & Logistics
80097184;Target Corporation;Consumer Goods & Retail
80097185;Dow Chemical Company;Industrial & Manufacturing
80097195;General Mills, Inc.;Consumer Goods & Retail
80097196;Corning Incorporated;Industrial & Manufacturing
80097197;Goodrich Corporation;Industrial & Manufacturing
80097198;Goodyear Tire & Rubber Company (The);Industrial & Manufacturing
80097199;Harley-Davidson, Inc.;Consumer Goods & Retail
80097203;IDEX Corporation;Industrial & Manufacturing
80097204;Anixter Inc.;Industrial & Manufacturing
80097207;KB Home;Real Estate & Property
80097208;Kmart Corp.;Consumer Goods & Retail
80097209;Kerr-McGee Corp.;Energy & Resources
80097214;Southwest Airlines Co.;Transportation & Logistics
80097216;McDonald's Corporation;Consumer Goods & Retail
80097217;McKesson Corp.;Healthcare & Pharmaceuticals
80097221;Mondelez International, Inc.;Consumer Goods & Retail
80097222;Motorola Solutions, Inc.;Technology & Software
80097224;Navistar International Corporation;Industrial & Manufacturing
80097226;Owens-Illinois Group, Inc.;Industrial & Manufacturing
