Sector,PD_Horizon,Intercept,N_observations,R_squared,GDP_Growth,Interest_Rate,Unemployment_Rate
Technology & Software,1_month,0.3215911758509645,33396,0.004354479961673818,-0.011019716434906868,-0.00196173924786379,-0.04072032668816327
Technology & Software,3_month,0.2853213936451598,33396,0.0038756985689304413,-0.008555664701017117,-0.002130141408747713,-0.036028513389476
Technology & Software,6_month,0.2402608322806314,33396,0.003321423759534703,-0.007611127274827376,-0.0022705808631534115,-0.030133070727572545
Technology & Software,12_month,0.1692540366240739,33396,0.002208944408576996,-0.006039972102213669,-0.0024181730496969124,-0.02083868014328822
Technology & Software,24_month,0.08858329064474724,33396,0.0010153155648187084,-0.0042258151185050625,-0.0023587678986576152,-0.01038144910121332
Technology & Software,36_month,0.04887207706339468,33396,0.0005542677475897095,-0.0031877081939065636,-0.0023901793203916885,-0.00526474798991779
Technology & Software,60_month,0.014899408782570562,33396,0.00038216601691665186,-0.0019099469949364792,-0.0024284401297473973,-0.000958884208828977
Industrial & Manufacturing,1_month,0.3085658056785324,24264,0.005024084448821298,-0.0015703248460820825,-0.004708307734849667,-0.040194125821817805
Industrial & Manufacturing,3_month,0.2793571788773234,24264,0.005128407735114138,-0.0025203825573784895,-0.004674527163772063,-0.036224299346173716
Industrial & Manufacturing,6_month,0.23861349714827992,24264,0.004350908565407541,-0.0018101501312537311,-0.004524956542329265,-0.03077322888802751
Industrial & Manufacturing,12_month,0.1759084430544893,24264,0.0030457292972392302,-0.0005446162900594167,-0.004448328326952689,-0.022414341655814456
Industrial & Manufacturing,24_month,0.10353538070851287,24264,0.0016580681391997754,0.00045609195217093937,-0.004548658291308482,-0.012794990233461532
Industrial & Manufacturing,36_month,0.06593576648096255,24264,0.0012605918418387985,0.0010769669812957985,-0.004600033681891604,-0.007827319475119355
Industrial & Manufacturing,60_month,0.031868660723872066,24264,0.0014382251981552852,0.00119653845951823,-0.0045739467824059375,-0.003335902882676942
Energy & Resources,1_month,0.17832185179837065,10208,0.0012651535403820358,-0.008991521458421352,0.005223336843741372,-0.02026827850647172
Energy & Resources,3_month,0.1426860562462149,10208,0.0013187390996605153,-0.010851233673602741,0.005054711055726238,-0.015795207631751865
Energy & Resources,6_month,0.10890295551594112,10208,0.0008737617811594989,-0.0074514766505351365,0.004593947013633871,-0.011587191924503776
Energy & Resources,12_month,0.050291224921295175,10208,0.00041154144647648216,-0.005063635994545313,0.003542071252103758,-0.004202316327503555
Energy & Resources,24_month,-0.010947915173264171,10208,0.0001805862688344373,-0.0027531106855459534,0.0017873202347990951,0.0034592722788335866
Energy & Resources,36_month,-0.03749250260305788,10208,0.0003378688998278978,-0.001636203440236858,0.0006814269962141463,0.006702898891557578
Energy & Resources,60_month,-0.05369384096330639,10208,0.000869709333369606,-0.0006170082676585303,-0.0007424668220678992,0.008544627737026118
Consumer Goods & Retail,1_month,0.2889402476182148,14170,0.004303939596228656,-0.006754193598734108,-0.005321002102182201,-0.035776034905556565
Consumer Goods & Retail,3_month,0.25399434837771656,14170,0.003991178115336891,-0.006475064586911176,-0.004992715311254474,-0.031249945006539298
