Sector,PD_Horizon,Intercept,N_observations,R_squared,β_GDP_Growth,β_GDP_Growth_CI_lower,β_GDP_Growth_CI_upper,β_Interest_Rate,β_Interest_Rate_CI_lower,β_Interest_Rate_CI_upper,β_Unemployment_Rate,β_Unemployment_Rate_CI_lower,β_Unemployment_Rate_CI_upper,β_Housing_Prices,β_Housing_Prices_CI_lower,β_Housing_Prices_CI_upper,β_CPI,β_CPI_CI_lower,β_CPI_CI_upper,δ_GPR_Global,δ_GPR_Global_CI_lower,δ_GPR_Global_CI_upper,δ_GPR_Sweden,δ_GPR_Sweden_CI_lower,δ_GPR_Sweden_CI_upper
Transportation & Logistics,12_month,-8.246780234206883,2934,0.03343784804221139,0.026508954026397774,-0.01107915451997614,0.06409706257277169,-0.5554097086383077,-0.717877070121951,-0.3929423471546644,0.08212982123433335,-0.010101664782563843,0.17436130725123056,-0.0008735394603094082,-0.0012353771838449533,-0.0005117017367738631,0.10478629362735513,0.07156877371579898,0.13800381353891128,0.003576695445507468,0.0008026757747348462,0.0063507151162800896,0.19223110038908767,-1.2282218572714128,1.6126840580495883
Energy & Resources,12_month,-4.027179504501628,20212,0.04784831588844374,-0.05537833317733643,-0.06622498387204474,-0.04453168248262812,-0.26477519688930007,-0.30774133802393266,-0.2218090557546675,0.16854557624736619,0.14209884325059405,0.19499230924413832,-5.030615522591235e-05,-0.0001489779901701718,4.83656797183471e-05,0.033745803176764344,0.02482097712591865,0.04267062922761004,-0.0005609968179779868,-0.0011604871124371078,3.849347648113429e-05,0.3791686388349138,0.02824944446582156,0.730087833204006
Telecommunications & Media,12_month,-5.835854613229514,7152,0.07656743220262774,-0.10183269205000378,-0.12315158276512703,-0.08051380133488054,-0.26568581558480464,-0.35105082615257416,-0.18032080501703512,0.06212984821863919,0.01096451459034474,0.11329518184693364,-0.0001496447939621881,-0.00034466836079116573,4.5378772866789554e-05,0.06343112598781792,0.04569880342776612,0.08116344854786972,0.0017007651762685786,0.0004160718439639767,0.002985458508573181,-1.2509455569864936,-1.8522284267530837,-0.6496626872199033
Financial Services,12_month,-6.495264126520809,11109,0.025429448601293148,-0.02687487364907934,-0.04936550555789676,-0.004384241740261918,-0.40762978905179614,-0.5000424833212397,-0.3152170947823526,0.1578588338551971,0.10336247129304647,0.21235519641734774,-0.000572036431844846,-0.0007764833777789762,-0.00036758948591071567,0.07116560391621152,0.052020985304344305,0.09031022252807873,0.0055411583492491236,0.004198499404674505,0.006883817293823742,0.512197671368104,-0.07672957156627214,1.1011249143024802
Industrial & Manufacturing,12_month,-6.116816799567312,9534,0.05341101275709503,-0.0421063670219402,-0.055994667436139525,-0.02821806660774087,-0.35550853071803395,-0.4125223048028547,-0.29849475663321323,0.33333749409927715,0.29834581273358307,0.36832917546497124,-0.0004050036952533014,-0.0005397465567031116,-0.0002702608338034913,0.051633767608873934,0.039510844963108346,0.06375669025463952,-4.267913069419007e-05,-0.0009830994435410295,0.0008977411821526493,0.5018359855730248,0.0671106490836873,0.9365613220623623
Consumer Goods & Retail,12_month,-5.676486722771093,8061,0.024576533833542746,-0.027660427275238403,-0.045160443680696785,-0.010160410869780017,-0.2860441303120612,-0.3582234122124128,-0.21386484841170966,0.14522828765736218,0.10075071522498757,0.18970586008973678,-0.0003940426486050353,-0.0005580886261594577,-0.00022999667105061286,0.06251646722178802,0.04754080731033424,0.0774921271332418,0.00046569281790865766,-0.0005488244804845348,0.0014802101163018501,-0.839189397071409,-1.3860345773761207,-0.2923442167666974
Professional Services & Consulting,12_month,-4.513646657964615,1199,0.0345136918707053,0.004658767312312072,-0.04963845912641154,0.05895599375103568,-0.3271457587713296,-0.5710875307141721,-0.08320398682848715,0.0841136457233576,-0.06250920199624942,0.2307364934429646,-0.00015204859411577264,-0.0006784101084263154,0.0003743129201947701,0.051332447433039406,0.0020680055036887968,0.10059688936239002,-0.0020164416615120555,-0.005002814407790259,0.0009699310847661488,-0.49844864352469004,-1.8677288478885699,0.8708315608391899
Technology & Software,12_month,-1.4075221179765451,3717,0.007743751073773453,0.019645154878961138,-0.0020376861558211584,0.041327995913743434,-0.056014518539250484,-0.1552822131227757,0.04325317604427475,-0.00413805560484886,-0.06100426165200006,0.05272815044230234,-0.00014666395740252057,-0.00036628911899718624,7.296120419214512e-05,0.022121363432646958,0.0014857404292233957,0.042756986436070524,-0.0017999179868231387,-0.003204577657818297,-0.0003952583158279804,-0.4447004276421057,-1.0483241323602814,0.15892327707607
Healthcare & Pharmaceuticals,12_month,-0.09544073654153189,3750,0.05679711352373551,-0.04237971335233539,-0.07489615692934143,-0.009863269775329343,0.005189114519935734,-0.10165669607033968,0.11203492511021114,-0.22303073692553685,-0.29157279032497024,-0.15448868352610345,0.0002588258604724408,2.684959214346638e-05,0.0004908021288014153,0.0125128356697878,-0.008812891150581493,0.03383856249015709,-0.0008258383171721109,-0.002158302387425101,0.0005066257530808791,-1.0893149549975356,-1.8019717163778068,-0.37665819361726427
Real Estate & Property,12_month,3.923511469812242,3291,0.09874076129360987,0.01398735047571369,-0.02683543160830711,0.05481013255973449,0.49018449672836156,0.3429151831702589,0.6374538102864642,-0.03251175188258022,-0.11805252131221286,0.053029017547052415,0.001206695207492252,0.000908484493857453,0.001504905921127051,-0.07448803363702447,-0.10320162381299709,-0.04577444346105185,0.0014969000313490828,-0.0001679951575797754,0.003161795220277941,1.2681641326154016,0.549896172611309,1.9864320926194943
Unassigned,12_month,-4.637840344388804,685,0.16998880573470876,0.09525077643590424,0.030149829156551733,0.16035172371525674,0.041274309376659685,-0.19149895626297236,0.27404757501629173,0.24579828102145942,0.097154845687697,0.39444171635522185,0.00011721310210182571,-0.0003957281829646672,0.0006301543871683186,0.021786447942890984,-0.024021121932407834,0.0675940178181898,0.006006065619159434,0.0019378472199838527,0.010074284018335017,-1.5251236891126019,-3.0978656642969487,0.047618286071744675
"Waste Management, Inc.",12_month,11.751438729503276,87,0.9202987810656196,-0.12338648379794795,-0.17928277397468345,-0.06749019362121245,0.6200703736744161,0.4566024595179208,0.7835382878309114,-0.13496455805218477,-0.20273158836668945,-0.06719752773768009,0.0018662842135239513,0.001468135812556326,0.0022644326144915764,-0.17120671283626065,-0.2054334198678643,-0.13698000580465702,0.005102643173998132,0.000849696146108447,0.009355590201887818,-0.5380736086578515,-1.2302213180099484,0.15407410069424532
Utilities,12_month,-5.0487167595330735,345,0.08025783722618696,0.011750505438263167,-0.04098211035160254,0.06448312122812887,-0.2668596541686089,-0.5200457195273485,-0.013673588809869353,0.05305184333866034,-0.08189953728024374,0.1880032239575644,-0.000626249531849351,-0.0012154323862143023,-3.706667748439962e-05,0.06525868227135148,0.013484960250980366,0.1170324042917226,0.0026422843356028306,-0.0011278829961248044,0.006412451667330466,-0.019605982434568514,-2.832649443994425,2.793437479125288
Agriculture,12_month,26.001155464824357,35,0.7640784924704199,0.7830069204994563,0.30360592275435,1.2624079182445627,2.6048517833352363,1.2613010605458461,3.9484025061246264,-1.0630711641870283,-2.1426836392305804,0.016541310856523772,0.005793163066987358,0.0025126956702554754,0.009073630463719241,-0.39328648808105576,-0.640723807847696,-0.1458491683144155,0.059282904288168604,0.04431890359765854,0.07424690497867867,-25.112344027491048,-36.91000754961244,-13.31468050536966
